,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2546,BTC,0.0,-5.507332160000001,99994.49266784,0.0,99994.49266784,1.0,4.136,6657.8,4.136,6657.8,entry_initial_normal_long
1,2661,BTC,50.45919999999925,-5.517424000000001,100039.43444383999,0.0,100039.43444383999,1.0,-4.136,6670.0,0.0,6657.8,close_trailing_long
2,3667,BTC,0.0,-5.50957918,100033.92486465999,0.0,100033.92486465999,1.0,4.223,6523.3,4.223,6523.3,entry_initial_normal_long
3,3668,BTC,0.0,-8.94473088,100024.98013377999,0.0,100024.98013377999,1.0,7.008,6381.8,11.231,6435.00581426409,entry_grid_normal_long
4,3669,BTC,0.0,-23.36920542,100001.61092836,0.0,100001.61092836,1.0,18.639,6268.9,29.87,6331.355118848342,entry_grid_normal_long
5,3673,BTC,-28.509342504158976,-37.79122192,99935.31036393583,0.0,99935.31036393583,1.0,-29.849,6330.4,0.021,6331.355118848342,close_trailing_long
6,3674,BTC,0.0,-1.6320626,99933.67830133584,0.0,99933.67830133584,1.0,1.286,6345.5,1.307,6345.272729530081,entry_initial_partial_long
7,3680,BTC,-1.0099574958159336,-1.6584523000000002,99931.00989154002,0.0,99931.00989154002,1.0,-1.307,6344.5,0.0,6345.272729530081,close_trailing_long
8,3681,BTC,0.0,-5.503401700000001,99925.50648984002,0.0,99925.50648984002,1.0,4.331,6353.5,4.331,6353.5,entry_initial_normal_long
9,3687,BTC,0.0,-8.93569032,99916.57079952002,0.0,99916.57079952002,1.0,7.188,6215.7,11.519,6267.511077350464,entry_grid_normal_long
10,3738,BTC,241.77140000000642,-14.4874463,100143.85475322003,0.0,100143.85475322003,1.0,-11.519,6288.5,0.0,6267.511077350464,close_trailing_long
11,3898,BTC,0.0,-5.5157954600000005,100138.33895776003,0.0,100138.33895776003,1.0,4.501,6127.3,4.501,6127.3,entry_initial_normal_long
12,3964,BTC,75.16669999999918,-5.5308288,100207.97482896002,0.0,100207.97482896002,1.0,-4.501,6144.0,0.0,6127.3,close_trailing_long
13,4736,BTC,0.0,-5.51873924,100202.45608972003,0.0,100202.45608972003,1.0,4.522,6102.1,4.522,6102.1,entry_initial_normal_long
14,4766,BTC,-4.522,-5.517834840000002,100192.41625488002,0.0,100192.41625488002,1.0,-4.522,6101.1,0.0,6102.1,close_trailing_long
15,6295,BTC,0.0,-5.517625000000001,100186.89862988003,0.0,100186.89862988003,1.0,4.625,5965.0,4.625,5965.0,entry_initial_normal_long
16,6691,BTC,-4.162499999998317,-5.5167925,100177.21933738003,0.0,100177.21933738003,1.0,-4.625,5964.1,0.0,5965.0,close_trailing_long
17,9462,BTC,0.0,-5.517715159999999,100171.70162222003,0.0,100171.70162222003,1.0,4.379,6300.2,4.379,6300.2,entry_initial_normal_long
18,9693,BTC,174.28420000000077,-5.552572,100340.43325022003,0.0,100340.43325022003,1.0,-4.379,6340.0,0.0,6300.2,close_trailing_long
19,12013,BTC,0.0,-5.5262332800000005,100334.90701694002,0.0,100334.90701694002,1.0,4.086,6762.4,4.086,6762.4,entry_initial_normal_long
20,12020,BTC,61.69860000000149,-5.538573,100391.06704394003,0.0,100391.06704394003,1.0,-4.086,6777.5,0.0,6762.4,close_trailing_long
21,12024,BTC,0.0,-5.529315560000001,100385.53772838003,0.0,100385.53772838003,1.0,4.093,6754.6,4.093,6754.6,entry_initial_normal_long
22,12034,BTC,181.7291999999985,-5.565661400000001,100561.70126698003,0.0,100561.70126698003,1.0,-4.093,6799.0,0.0,6754.6,close_trailing_long
23,12113,BTC,0.0,-5.53897308,100556.16229390004,0.0,100556.16229390004,1.0,4.146,6679.9,4.146,6679.9,entry_initial_normal_long
24,12116,BTC,8.706600000001508,-5.540714400000001,100559.32817950004,0.0,100559.32817950004,1.0,-4.146,6682.0,0.0,6679.9,close_trailing_long
25,13209,BTC,0.0,-5.53873656,100553.78944294003,0.0,100553.78944294003,1.0,4.116,6728.3,4.116,6728.3,entry_initial_normal_long
26,13247,BTC,204.56519999999924,-5.5796496,100752.77499334003,0.0,100752.77499334003,1.0,-4.116,6778.0,0.0,6728.3,close_trailing_long
27,13263,BTC,0.0,-5.548684680000001,100747.22630866003,0.0,100747.22630866003,1.0,4.158,6672.3,4.158,6672.3,entry_initial_normal_long
28,13287,BTC,56.96459999999925,-5.5600776000000005,100798.63083106003,0.0,100798.63083106003,1.0,-4.158,6686.0,0.0,6672.3,close_trailing_long
29,13292,BTC,0.0,-5.551163840000001,100793.07966722002,0.0,100793.07966722002,1.0,4.184,6633.8,4.184,6633.8,entry_initial_normal_long
30,13305,BTC,2.928799999999239,-5.5517496,100790.45671762002,0.0,100790.45671762002,1.0,-4.184,6634.5,0.0,6633.8,close_trailing_long
31,13306,BTC,0.0,-5.5516440000000005,100784.90507362002,0.0,100784.90507362002,1.0,4.2,6609.1,4.2,6609.1,entry_initial_normal_long
32,13335,BTC,226.3799999999985,-5.596920000000001,101005.68815362001,0.0,101005.68815362001,1.0,-4.2,6663.0,0.0,6609.1,close_trailing_long
33,14467,BTC,0.0,-5.563273800000001,101000.12487982001,0.0,101000.12487982001,1.0,4.165,6678.6,4.165,6678.6,entry_initial_normal_long
34,14480,BTC,109.95599999999848,-5.585265000000001,101104.49561482001,0.0,101104.49561482001,1.0,-4.165,6705.0,0.0,6678.6,close_trailing_long
35,19289,BTC,0.0,-5.56845756,101098.92715726001,0.0,101098.92715726001,1.0,3.877,7181.4,3.877,7181.4,entry_initial_normal_long
36,19401,BTC,-4.264699999997884,-5.56760462,101089.09485264002,0.0,101089.09485264002,1.0,-3.877,7180.3,0.0,7181.4,close_trailing_long
37,21681,BTC,0.0,-5.56701488,101083.52783776002,0.0,101083.52783776002,1.0,3.884,7166.6,3.884,7166.6,entry_initial_normal_long
