,balance,equity,balance_btc,equity_btc
0,100009.235986942,100000.0,0.0,0.0
60,100009.235986942,100000.0,0.0,0.0
120,100009.235986942,100000.0,0.0,0.0
180,100009.235986942,100000.0,0.0,0.0
240,100009.235986942,100000.0,0.0,0.0
300,100009.235986942,100000.0,0.0,0.0
360,100009.235986942,100000.0,0.0,0.0
420,100009.235986942,100000.0,0.0,0.0
480,100009.235986942,100000.0,0.0,0.0
540,100009.235986942,100000.0,0.0,0.0
600,100009.235986942,100000.0,0.0,0.0
660,100009.235986942,100000.0,0.0,0.0
720,100009.235986942,100000.0,0.0,0.0
780,100009.235986942,100000.0,0.0,0.0
840,100009.235986942,100000.0,0.0,0.0
900,100009.235986942,100000.0,0.0,0.0
960,100009.235986942,100000.0,0.0,0.0
1020,100009.235986942,100000.0,0.0,0.0
1080,100009.235986942,100000.0,0.0,0.0
1140,100009.235986942,100000.0,0.0,0.0
1200,100009.235986942,100000.0,0.0,0.0
1260,100009.235986942,100000.0,0.0,0.0
1320,100009.235986942,100000.0,0.0,0.0
1380,100009.235986942,100000.0,0.0,0.0
1440,100009.235986942,100000.0,0.0,0.0
1500,100009.235986942,100000.0,0.0,0.0
1560,100009.235986942,100000.0,0.0,0.0
1620,100009.235986942,100000.0,0.0,0.0
1680,100009.235986942,100000.0,0.0,0.0
1740,100009.235986942,100000.0,0.0,0.0
1800,100009.235986942,100000.0,0.0,0.0
1860,100009.235986942,100000.0,0.0,0.0
1920,100009.235986942,100000.0,0.0,0.0
1980,100009.235986942,100000.0,0.0,0.0
2040,100009.235986942,100000.0,0.0,0.0
2100,100009.235986942,100000.0,0.0,0.0
2160,100009.235986942,100000.0,0.0,0.0
2220,100009.235986942,100000.0,0.0,0.0
2280,100009.235986942,100000.0,0.0,0.0
2340,100009.235986942,100000.0,0.0,0.0
2400,100009.235986942,100000.0,0.0,0.0
2460,100009.235986942,100000.0,0.0,0.0
2520,100009.235986942,100009.235986942,0.0,0.0
2580,100009.235986942,100009.235986942,0.0,0.0
2640,100009.235986942,100009.235986942,0.0,0.0
2700,100009.235986942,100009.235986942,0.0,0.0
2760,100009.235986942,100009.235986942,0.0,0.0
2820,100009.235986942,100009.235986942,0.0,0.0
2880,100009.235986942,100009.235986942,0.0,0.0
2940,100009.235986942,100009.235986942,0.0,0.0
3000,100009.235986942,100009.235986942,0.0,0.0
3060,100009.235986942,100009.235986942,0.0,0.0
3120,100009.235986942,100009.235986942,0.0,0.0
3180,100009.235986942,100009.235986942,0.0,0.0
3240,100009.235986942,100009.235986942,0.0,0.0
3300,100009.235986942,100009.235986942,0.0,0.0
3360,100009.235986942,100009.235986942,0.0,0.0
3420,100009.235986942,100009.235986942,0.0,0.0
3480,100009.235986942,100009.235986942,0.0,0.0
3540,100009.235986942,100009.235986942,0.0,0.0
3600,100009.235986942,100009.235986942,0.0,0.0
3660,100009.235986942,100009.235986942,0.0,0.0
3720,100009.235986942,100009.235986942,0.0,0.0
3780,100009.235986942,100009.235986942,0.0,0.0
3840,100009.235986942,100009.235986942,0.0,0.0
3900,100009.235986942,100009.235986942,0.0,0.0
3960,100009.235986942,100009.235986942,0.0,0.0
4020,100009.235986942,100009.235986942,0.0,0.0
4080,100009.235986942,100009.235986942,0.0,0.0
4140,100009.235986942,100009.235986942,0.0,0.0
4200,100009.235986942,100009.235986942,0.0,0.0
4260,100009.235986942,100009.235986942,0.0,0.0
4320,100009.235986942,100009.235986942,0.0,0.0
4380,100009.235986942,100009.235986942,0.0,0.0
4440,100009.235986942,100009.235986942,0.0,0.0
4500,100009.235986942,100009.235986942,0.0,0.0
4560,100009.235986942,100009.235986942,0.0,0.0
4620,100009.235986942,100009.235986942,0.0,0.0
4680,100009.235986942,100009.235986942,0.0,0.0
4740,100009.235986942,100009.235986942,0.0,0.0
4800,100009.235986942,100009.235986942,0.0,0.0
4860,100009.235986942,100009.235986942,0.0,0.0
4920,100009.235986942,100009.235986942,0.0,0.0
4980,100009.235986942,100009.235986942,0.0,0.0
5040,100009.235986942,100009.235986942,0.0,0.0
5100,100009.235986942,100009.235986942,0.0,0.0
5160,100009.235986942,100009.235986942,0.0,0.0
5220,100009.235986942,100009.235986942,0.0,0.0
5280,100009.235986942,100009.235986942,0.0,0.0
