,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2461,BTC,0.0,-0.8032174999999999,99999.1967825,0.0,99999.1967825,1.0,0.575,6984.5,0.575,6984.5,entry_initial_normal_long
1,2463,BTC,-3.277499999999895,-0.802562,99995.11672050001,0.0,99995.11672050001,1.0,-0.575,6978.8,0.0,6984.5,close_trailing_long
2,2464,BTC,0.0,-0.80224575,99994.31447475,0.0,99994.31447475,1.0,0.575,6976.05,0.575,6976.05,entry_initial_normal_long
3,3141,BTC,22.166250000000105,-0.806679,100015.67404575,0.0,100015.67404575,1.0,-0.575,7014.6,0.0,6976.05,close_trailing_long
4,11078,BTC,0.0,-0.80308714,100014.87095861,0.0,100014.87095861,1.0,0.493,8144.9,0.493,8144.9,entry_initial_normal_long
5,11282,BTC,0.0,-2.26770278,100012.60325583,0.0,100012.60325583,1.0,1.427,7945.7,1.92,7996.848750000001,entry_grid_normal_long
6,11323,BTC,-0.9576000000012572,-3.0705984,100008.57505743,0.0,100008.57505743,1.0,-1.92,7996.35,0.0,7996.848750000001,close_trailing_long
7,20426,BTC,0.0,-0.80280102,100007.77225641,0.0,100007.77225641,1.0,0.467,8595.3,0.467,8595.3,entry_initial_normal_long
8,20448,BTC,20.23978000000007,-0.8068489759999999,100027.205187434,0.0,100027.205187434,1.0,-0.467,8638.64,0.0,8595.3,close_trailing_long
9,26581,BTC,0.0,-0.8024130000000002,100026.402774434,0.0,100026.402774434,1.0,0.45,8915.7,0.45,8915.7,entry_initial_normal_long
10,26582,BTC,0.0,-2.2666206200000003,100024.136153814,0.0,100024.136153814,1.0,1.303,8697.7,1.753,8753.661209355392,entry_grid_normal_long
11,26583,BTC,0.0,-8.65360552,100015.482548294,0.0,100015.482548294,1.0,5.074,8527.4,6.827,8585.498125091548,entry_grid_normal_long
12,26586,BTC,268.7917900000073,-11.776397498000001,100272.49794079602,0.0,100272.49794079602,1.0,-6.827,8624.87,0.0,8585.498125091548,close_trailing_long
13,26587,BTC,0.0,-0.8048539520000002,100271.69308684402,0.0,100271.69308684402,1.0,0.467,8617.28,0.467,8617.28,entry_initial_normal_long
14,26590,BTC,4.146959999999626,-0.8056833440000001,100275.03436350003,0.0,100275.03436350003,1.0,-0.467,8626.16,0.0,8617.28,close_trailing_long
15,26591,BTC,0.0,-0.80453277,100274.22983073004,0.0,100274.22983073004,1.0,0.465,8650.89,0.465,8650.89,entry_initial_normal_long
16,26596,BTC,-3.296850000000068,-0.8038734,100270.12910733004,0.0,100270.12910733004,1.0,-0.465,8643.8,0.0,8650.89,close_trailing_long
17,26597,BTC,0.0,-0.8040006399999999,100269.32510669004,0.0,100269.32510669004,1.0,0.464,8663.8,0.464,8663.8,entry_initial_normal_long
18,26600,BTC,9.317119999999967,-0.805864064,100277.83636262604,0.0,100277.83636262604,1.0,-0.464,8683.88,0.0,8663.8,close_trailing_long
19,26601,BTC,0.0,-0.805075264,100277.03128736204,0.0,100277.03128736204,1.0,0.464,8675.38,0.464,8675.38,entry_initial_normal_long
20,26606,BTC,2.714400000000169,-0.8056181440000001,100278.94006921805,0.0,100278.94006921805,1.0,-0.464,8681.23,0.0,8675.38,close_trailing_long
21,26607,BTC,0.0,-0.80553903,100278.13453018805,0.0,100278.13453018805,1.0,0.465,8661.71,0.465,8661.71,entry_initial_normal_long
22,26630,BTC,9.565050000000712,-0.8074520400000001,100286.89212814806,0.0,100286.89212814806,1.0,-0.465,8682.28,0.0,8661.71,close_trailing_long
23,26631,BTC,0.0,-0.8051014400000001,100286.08702670806,0.0,100286.08702670806,1.0,0.463,8694.4,0.463,8694.4,entry_initial_normal_long
24,27232,BTC,13.607570000000573,-0.8078229540000001,100298.88677375406,0.0,100298.88677375406,1.0,-0.463,8723.79,0.0,8694.4,close_trailing_long
25,27256,BTC,0.0,-0.8056041399999999,100298.08116961406,0.0,100298.08116961406,1.0,0.473,8515.9,0.473,8515.9,entry_initial_normal_long
26,27259,BTC,24.988589999999963,-0.810601858,100322.25915775605,0.0,100322.25915775605,1.0,-0.473,8568.73,0.0,8515.9,close_trailing_long
27,29981,BTC,0.0,-0.8052865000000001,100321.45387125605,0.0,100321.45387125605,1.0,0.475,8476.7,0.475,8476.7,entry_initial_normal_long
28,29990,BTC,28.647249999999758,-0.81101595,100349.29010530605,0.0,100349.29010530605,1.0,-0.475,8537.01,0.0,8476.7,close_trailing_long
