,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2546,BTC,0.0,-0.7834289,99999.2165711,0.0,99999.2165711,1.0,0.589,6650.5,0.589,6650.5,entry_initial_normal_long
1,2570,BTC,2.7682999999998925,-0.78398256,100001.20088854,0.0,100001.20088854,1.0,-0.589,6655.2,0.0,6650.5,close_trailing_long
2,3667,BTC,0.0,-0.78245392,100000.41843462,0.0,100000.41843462,1.0,0.601,6509.6,0.601,6509.6,entry_initial_normal_long
3,3668,BTC,0.0,-2.2947480000000002,99998.12368662,0.0,99998.12368662,1.0,1.8,6374.3,2.401,6408.167263640151,entry_grid_normal_long
4,3669,BTC,0.0,-14.049190280000001,99984.07449634,0.0,99984.07449634,1.0,11.201,6271.4,13.602,6295.541905602117,entry_grid_inflated_long
5,3671,BTC,58.516947066607436,-16.53876,100026.05268340661,0.0,100026.05268340661,1.0,-13.126,6300.0,0.476,6295.541905602117,close_trailing_long
6,3673,BTC,10.214052933392132,-0.6013784,100035.66535794,0.0,100035.66535794,1.0,-0.476,6317.0,0.0,6295.541905602117,close_trailing_long
7,3674,BTC,0.0,-0.7830347,100034.88232324,0.0,100034.88232324,1.0,0.617,6345.5,0.617,6345.5,entry_initial_normal_long
8,3680,BTC,2.7765,-0.78359,100036.87523324,0.0,100036.87523324,1.0,-0.617,6350.0,0.0,6345.5,close_trailing_long
9,3681,BTC,0.0,-0.7827512,100036.09248204001,0.0,100036.09248204001,1.0,0.616,6353.5,0.616,6353.5,entry_initial_normal_long
10,3687,BTC,0.0,-2.2957335,100033.79674854001,0.0,100033.79674854001,1.0,1.845,6221.5,2.461,6254.540227549776,entry_grid_normal_long
11,3733,BTC,49.12100000000048,-3.0883089000000004,100079.82943964002,0.0,100079.82943964002,1.0,-2.461,6274.5,0.0,6254.540227549776,close_trailing_long
12,3906,BTC,0.0,-0.7830602400000001,100079.04637940001,0.0,100079.04637940001,1.0,0.642,6098.6,0.642,6098.6,entry_initial_normal_long
13,3927,BTC,2.760599999999533,-0.78361236,100081.02336704,0.0,100081.02336704,1.0,-0.642,6102.9,0.0,6098.6,close_trailing_long
14,4736,BTC,0.0,-0.7830839800000001,100080.24028306,0.0,100080.24028306,1.0,0.643,6089.3,0.643,6089.3,entry_initial_normal_long
15,4738,BTC,2.764900000000117,-0.7836369600000002,100082.2215461,0.0,100082.2215461,1.0,-0.643,6093.6,0.0,6089.3,close_trailing_long
16,4753,BTC,0.0,-0.78302952,100081.43851658,0.0,100081.43851658,1.0,0.646,6060.6,0.646,6060.6,entry_initial_normal_long
17,4758,BTC,8.979399999999766,-0.7848254,100089.63309118,0.0,100089.63309118,1.0,-0.646,6074.5,0.0,6060.6,close_trailing_long
18,4759,BTC,0.0,-0.7840281600000002,100088.84906302001,0.0,100088.84906302001,1.0,0.648,6049.6,0.648,6049.6,entry_initial_normal_long
19,4765,BTC,2.786399999999529,-0.7845854400000001,100090.85087758001,0.0,100090.85087758001,1.0,-0.648,6053.9,0.0,6049.6,close_trailing_long
20,6295,BTC,0.0,-0.7833490000000001,100090.06752858001,0.0,100090.06752858001,1.0,0.658,5952.5,0.658,5952.5,entry_initial_normal_long
21,6299,BTC,2.7635999999998804,-0.78390172,100092.04722686001,0.0,100092.04722686001,1.0,-0.658,5956.7,0.0,5952.5,close_trailing_long
22,6301,BTC,0.0,-0.7839480000000001,100091.26327886002,0.0,100091.26327886002,1.0,0.66,5939.0,0.66,5939.0,entry_initial_normal_long
23,6692,BTC,3.96,-0.7847400000000001,100094.43853886002,0.0,100094.43853886002,1.0,-0.66,5945.0,0.0,5939.0,close_trailing_long
24,9463,BTC,0.0,-0.7831234600000001,100093.65541540002,0.0,100093.65541540002,1.0,0.623,6285.1,0.623,6285.1,entry_initial_normal_long
25,9469,BTC,2.8035,-0.7836841600000001,100095.67523124002,0.0,100095.67523124002,1.0,-0.623,6289.6,0.0,6285.1,close_trailing_long
26,9473,BTC,0.0,-0.78305,100094.89218124002,0.0,100094.89218124002,1.0,0.625,6264.4,0.625,6264.4,entry_initial_normal_long
27,9490,BTC,10.062500000000227,-0.7850625,100104.16961874002,0.0,100104.16961874002,1.0,-0.625,6280.5,0.0,6264.4,close_trailing_long
28,12005,BTC,0.0,-0.7835295,100103.38608924003,0.0,100103.38608924003,1.0,0.575,6813.3,0.575,6813.3,entry_initial_normal_long
29,12053,BTC,18.227499999999893,-0.787175,100120.82641424003,0.0,100120.82641424003,1.0,-0.575,6845.0,0.0,6813.3,close_trailing_long
30,12113,BTC,0.0,-0.7838980799999999,100120.04251616003,0.0,100120.04251616003,1.0,0.588,6665.8,0.588,6665.8,entry_initial_normal_long
31,12116,BTC,9.525599999999892,-0.7858031999999999,100128.78231296003,0.0,100128.78231296003,1.0,-0.588,6682.0,0.0,6665.8,close_trailing_long
32,14465,BTC,0.0,-0.7844782,100127.99783476003,0.0,100127.99783476003,1.0,0.586,6693.5,0.586,6693.5,entry_initial_normal_long
33,14468,BTC,2.8128000000001063,-0.78504076,100130.02559400002,0.0,100130.02559400002,1.0,-0.586,6698.3,0.0,6693.5,close_trailing_long
34,19289,BTC,0.0,-0.7839932200000002,100129.24160078002,0.0,100129.24160078002,1.0,0.547,7166.3,0.547,7166.3,entry_initial_normal_long
35,19293,BTC,2.789699999999702,-0.78455116,100131.24674962003,0.0,100131.24674962003,1.0,-0.547,7171.4,0.0,7166.3,close_trailing_long
36,19297,BTC,0.0,-0.7833440800000001,100130.46340554002,0.0,100130.46340554002,1.0,0.548,7147.3,0.548,7147.3,entry_initial_normal_long
37,19379,BTC,2.794799999999701,-0.7839030400000001,100132.47430250002,0.0,100132.47430250002,1.0,-0.548,7152.4,0.0,7147.3,close_trailing_long
38,21682,BTC,0.0,-0.7836071200000001,100131.69069538002,0.0,100131.69069538002,1.0,0.548,7149.7,0.548,7149.7,entry_initial_normal_long
39,21684,BTC,9.2064000000001,-0.7854484,100140.11164698002,0.0,100140.11164698002,1.0,-0.548,7166.5,0.0,7149.7,close_trailing_long
40,21685,BTC,0.0,-0.7843123800000001,100139.32733460002,0.0,100139.32733460002,1.0,0.549,7143.1,0.549,7143.1,entry_initial_normal_long
41,21700,BTC,26.8460999999998,-0.7896816000000001,100165.38375300002,0.0,100165.38375300002,1.0,-0.549,7192.0,0.0,7143.1,close_trailing_long
42,22705,BTC,0.0,-0.7846012200000001,100164.59915178001,0.0,100164.59915178001,1.0,0.559,7017.9,0.559,7017.9,entry_initial_normal_long
43,22828,BTC,0.0,-2.3007456,100162.29840618001,0.0,100162.29840618001,1.0,1.674,6872.0,2.233,6908.524003582625,entry_grid_normal_long
44,22843,BTC,10.888099999998516,-3.08752444,100170.09898174001,0.0,100170.09898174001,1.0,-2.233,6913.4,0.0,6908.524003582625,close_trailing_long
45,26724,BTC,0.0,-0.7846009599999999,100169.31438078001,0.0,100169.31438078001,1.0,0.572,6858.4,0.572,6858.4,entry_initial_normal_long
46,26753,BTC,0.0,-2.30086734,100167.01351344,0.0,100167.01351344,1.0,1.713,6715.9,2.285,6751.571772428884,entry_grid_normal_long
47,26755,BTC,0.0,-14.070010500000002,100152.94350294,0.0,100152.94350294,1.0,10.647,6607.5,12.932,6632.956541911537,entry_grid_inflated_long
48,26761,BTC,243.88281348592992,-16.6033095,100380.22300692594,0.0,100380.22300692594,1.0,-12.479,6652.5,0.453,6632.956541911537,close_trailing_long
49,26768,BTC,5.682186514073745,-0.6020823000000001,100385.30311114,0.0,100385.30311114,1.0,-0.453,6645.5,0.0,6632.956541911537,close_trailing_long
50,26769,BTC,0.0,-0.785526,100384.51758514,0.0,100384.51758514,1.0,0.59,6657.0,0.59,6657.0,entry_initial_normal_long
51,26774,BTC,11.799999999999999,-0.787886,100395.52969914,0.0,100395.52969914,1.0,-0.59,6677.0,0.0,6657.0,close_trailing_long
52,26784,BTC,0.0,-0.7857091199999999,100394.74399002,0.0,100394.74399002,1.0,0.588,6681.2,0.588,6681.2,entry_initial_normal_long
53,26794,BTC,13.700400000000107,-0.7884492,100407.65594082,0.0,100407.65594082,1.0,-0.588,6704.5,0.0,6681.2,close_trailing_long
54,31045,BTC,0.0,-0.78608286,100406.86985796,0.0,100406.86985796,1.0,0.603,6518.1,0.603,6518.1,entry_initial_normal_long
55,31058,BTC,13.20569999999978,-0.788724,100419.28683396,0.0,100419.28683396,1.0,-0.603,6540.0,0.0,6518.1,close_trailing_long
56,31071,BTC,0.0,-0.7858222,100418.50101175999,0.0,100418.50101175999,1.0,0.607,6473.0,0.607,6473.0,entry_initial_normal_long
57,31073,BTC,10.0155,-0.7878253000000001,100427.72868645999,0.0,100427.72868645999,1.0,-0.607,6489.5,0.0,6473.0,close_trailing_long
58,37524,BTC,0.0,-0.7868359599999999,100426.94185049999,0.0,100426.94185049999,1.0,0.569,6914.2,0.569,6914.2,entry_initial_normal_long
59,37555,BTC,33.7417000000001,-0.7935842999999999,100459.88996619999,0.0,100459.88996619999,1.0,-0.569,6973.5,0.0,6914.2,close_trailing_long
60,37871,BTC,0.0,-0.78646568,100459.10350052,0.0,100459.10350052,1.0,0.572,6874.7,0.572,6874.7,entry_initial_normal_long
61,37890,BTC,2.8028000000003117,-0.78702624,100461.11927427999,0.0,100461.11927427999,1.0,-0.572,6879.6,0.0,6874.7,close_trailing_long
62,51644,BTC,0.0,-0.7866374400000001,100460.33263683999,0.0,100460.33263683999,1.0,0.432,9104.6,0.432,9104.6,entry_initial_normal_long
63,51650,BTC,18.532799999999842,-0.790344,100478.07509283998,0.0,100478.07509283998,1.0,-0.432,9147.5,0.0,9104.6,close_trailing_long
64,51654,BTC,0.0,-0.7867177,100477.28837513998,0.0,100477.28837513998,1.0,0.433,9084.5,0.433,9084.5,entry_initial_normal_long
65,51663,BTC,28.3615,-0.79239,100504.85748513998,0.0,100504.85748513998,1.0,-0.433,9150.0,0.0,9084.5,close_trailing_long
66,51750,BTC,0.0,-0.7874451600000001,100504.07003997998,0.0,100504.07003997998,1.0,0.438,8989.1,0.438,8989.1,entry_initial_normal_long
67,51794,BTC,0.0,-2.30972352,100501.76031645999,0.0,100501.76031645999,1.0,1.312,8802.3,1.75,8849.053371428572,entry_grid_normal_long
68,51802,BTC,0.0,-14.116126000000001,100487.64419045999,0.0,100487.64419045999,1.0,8.15,8660.2,9.9,8693.583171717171,entry_grid_inflated_long
69,51808,BTC,59.389360585855115,-16.62183788,100530.41171316584,0.0,100530.41171316584,1.0,-9.553,8699.8,0.347,8693.583171717171,close_trailing_long
70,51814,BTC,2.22663941414154,-0.60378,100532.03457257999,0.0,100532.03457257999,1.0,-0.347,8700.0,0.0,8693.583171717171,close_trailing_long
71,51815,BTC,0.0,-0.7872205,100531.24735207998,0.0,100531.24735207998,1.0,0.451,8727.5,0.451,8727.5,entry_initial_normal_long
72,51825,BTC,46.6785,-0.7965562,100577.12929587999,0.0,100577.12929587999,1.0,-0.451,8831.0,0.0,8727.5,close_trailing_long
73,52261,BTC,0.0,-0.78685992,100576.34243595999,0.0,100576.34243595999,1.0,0.462,8515.8,0.462,8515.8,entry_initial_normal_long
74,52283,BTC,21.344400000000338,-0.7911288000000001,100596.89570715999,0.0,100596.89570715999,1.0,-0.462,8562.0,0.0,8515.8,close_trailing_long
75,57048,BTC,0.0,-0.7878780000000001,100596.10782915998,0.0,100596.10782915998,1.0,0.455,8658.0,0.455,8658.0,entry_initial_normal_long
76,57061,BTC,17.517500000000002,-0.7913815000000001,100612.83394765998,0.0,100612.83394765998,1.0,-0.455,8696.5,0.0,8658.0,close_trailing_long
77,59014,BTC,0.0,-0.78699376,100612.04695389998,0.0,100612.04695389998,1.0,0.446,8822.8,0.446,8822.8,entry_initial_normal_long
78,59035,BTC,13.469200000000324,-0.7896876,100624.72646629998,0.0,100624.72646629998,1.0,-0.446,8853.0,0.0,8822.8,close_trailing_long
79,61280,BTC,0.0,-0.7872422400000001,100623.93922405998,0.0,100623.93922405998,1.0,0.432,9111.6,0.432,9111.6,entry_initial_normal_long
80,61285,BTC,6.652799999999843,-0.7885728000000001,100629.80345125998,0.0,100629.80345125998,1.0,-0.432,9127.0,0.0,9111.6,close_trailing_long
81,61286,BTC,0.0,-0.7880572,100629.01539405998,0.0,100629.01539405998,1.0,0.434,9079.0,0.434,9079.0,entry_initial_normal_long
82,61304,BTC,29.512,-0.7939596,100657.73343445998,0.0,100657.73343445998,1.0,-0.434,9147.0,0.0,9079.0,close_trailing_long
83,65618,BTC,0.0,-0.7884912,100656.94494325998,0.0,100656.94494325998,1.0,0.42,9386.8,0.42,9386.8,entry_initial_normal_long
84,65619,BTC,0.0,-2.31263172,100654.63231153999,0.0,100654.63231153999,1.0,1.258,9191.7,1.678,9240.533134684149,entry_grid_normal_long
85,65621,BTC,0.0,-14.138451559999998,100640.49385998,0.0,100640.49385998,1.0,7.817,9043.4,9.495,9078.238272775145,entry_grid_inflated_long
86,65627,BTC,0.0,-32.82026930000001,100607.67359067999,0.0,100607.67359067999,1.0,19.201,8546.5,28.696,8722.442810844717,entry_trailing_cropped_long
87,65636,BTC,-12.547650383328728,-0.25218579999999996,100594.87375449666,0.0,100594.87375449666,1.0,-0.146,8636.5,28.55,8722.442810844717,close_unstuck_long
88,65638,BTC,-9.99670757248401,-0.2509515,100584.62609542417,0.0,100584.62609542417,1.0,-0.145,8653.5,28.405,8722.442810844717,close_unstuck_long
89,65639,BTC,-6.00920757248401,-0.251749,100578.36513885169,0.0,100578.36513885169,1.0,-0.145,8681.0,28.26,8722.442810844717,close_unstuck_long
90,65640,BTC,-9.41670757248401,-0.2510675,100568.69736377921,0.0,100568.69736377921,1.0,-0.145,8657.5,28.115,8722.442810844717,close_unstuck_long
91,65641,BTC,-18.679650383328728,-0.2509594,100549.76675399588,0.0,100549.76675399588,1.0,-0.146,8594.5,27.969,8722.442810844717,close_unstuck_long
92,65642,BTC,-14.445650383328728,-0.2518062,100535.06929741256,0.0,100535.06929741256,1.0,-0.146,8623.5,27.823,8722.442810844717,close_unstuck_long
93,65643,BTC,-14.810650383328728,-0.2517332,100520.00691382923,0.0,100520.00691382923,1.0,-0.146,8621.0,27.677,8722.442810844717,close_unstuck_long
94,65644,BTC,-10.50420757248401,-0.25085,100509.25185625674,0.0,100509.25185625674,1.0,-0.145,8650.0,27.532,8722.442810844717,close_unstuck_long
95,65645,BTC,-18.460650383328726,-0.2510032,100490.54020267341,0.0,100490.54020267341,1.0,-0.146,8596.0,27.386,8722.442810844717,close_unstuck_long
96,65646,BTC,-19.48265038332873,-0.2507988,100470.80675349008,0.0,100470.80675349008,1.0,-0.146,8589.0,27.24,8722.442810844717,close_unstuck_long
97,65647,BTC,-14.445650383328728,-0.2518062,100456.10929690675,0.0,100456.10929690675,1.0,-0.146,8623.5,27.094,8722.442810844717,close_unstuck_long
98,65648,BTC,-12.38920757248401,-0.250473,100443.46961633427,0.0,100443.46961633427,1.0,-0.145,8637.0,26.949,8722.442810844717,close_unstuck_long
99,65649,BTC,-12.89670757248401,-0.25037149999999997,100430.32253726179,0.0,100430.32253726179,1.0,-0.145,8633.5,26.804,8722.442810844717,close_unstuck_long
