,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2447,BTC,0.0,-3.0385227599999998,99996.96147724,0.0,99996.96147724,1.0,2.157,7043.4,2.157,7043.4,entry_initial_normal_long
1,2450,BTC,39.15815999999993,-2.7603923519999998,100033.359244888,0.0,100033.359244888,1.0,-1.954,7063.44,0.203,7043.4,close_trailing_long
2,2452,BTC,0.0,-2.4525618,100030.90668308799,0.0,100030.90668308799,1.0,1.742,7039.5,1.945,7039.9070437018,entry_initial_partial_long
3,2463,BTC,0.0,-3.8419047199999996,100027.06477836799,0.0,100027.06477836799,1.0,2.764,6949.9,4.709,6987.076406880442,entry_grid_normal_long
4,2976,BTC,0.0,-9.222512880000002,100017.84226548798,0.0,100017.84226548798,1.0,6.692,6890.7,11.401,6930.506727480046,entry_grid_normal_long
5,3140,BTC,301.9249583808426,-4.8077821,100314.95944176882,0.0,100314.95944176882,1.0,-3.425,7018.66,7.976,6930.506727480046,close_trailing_long
6,3144,BTC,238.3658911060414,-4.808931299999999,100548.51640157486,0.0,100548.51640157486,1.0,-3.435,6999.9,4.541,6930.506727480046,close_trailing_long
7,3156,BTC,249.11231728620115,-4.822169396,100792.80654946507,0.0,100792.80654946507,1.0,-3.443,7002.86,1.098,6930.506727480046,close_trailing_long
8,3163,BTC,138.83401254275924,-1.261397,100930.37916500782,0.0,100930.37916500782,1.0,-0.89,7086.5,0.208,6930.506727480046,close_trailing_long
9,3165,BTC,4.636399087799318,-0.021718800000000003,100934.99384529563,0.0,100934.99384529563,1.0,-0.015,7239.6,0.193,6930.506727480046,close_trailing_long
10,7376,BTC,122.4186015963512,-0.29200128000000003,101057.12044561197,0.0,101057.12044561197,1.0,-0.193,7564.8,0.0,6930.506727480046,close_grid_long
11,9594,BTC,0.0,-3.07062924,101054.04981637197,0.0,101054.04981637197,1.0,1.981,7750.2,1.981,7750.2,entry_initial_normal_long
12,9602,BTC,-0.35899999999967347,-2.7822500000000003,101050.90856637197,0.0,101050.90856637197,1.0,-1.795,7750.0,0.186,7750.2,close_trailing_long
13,10136,BTC,131.91119999999995,-0.31468968,101182.50507669197,0.0,101182.50507669197,1.0,-0.186,8459.4,0.0,7750.2,close_grid_long
14,10931,BTC,0.0,-3.0736692,101179.43140749197,0.0,101179.43140749197,1.0,1.865,8240.4,1.865,8240.4,entry_initial_normal_long
15,10940,BTC,59.35280000000135,-2.79712576,101235.98708173198,0.0,101235.98708173198,1.0,-1.69,8275.52,0.175,8240.4,close_trailing_long
16,11069,BTC,0.0,-2.4834950399999998,101233.50358669198,0.0,101233.50358669198,1.0,1.508,8234.4,1.683,8235.023885918003,entry_initial_partial_long
17,11074,BTC,51.3677739215709,-2.492309754,101282.37905085956,0.0,101282.37905085956,1.0,-1.507,8269.11,0.176,8235.023885918003,close_trailing_long
18,11075,BTC,0.0,-2.48489792,101279.89415293955,0.0,101279.89415293955,1.0,1.514,8206.4,1.69,8209.380949066017,entry_initial_partial_long
19,11082,BTC,0.0,-3.8934018000000004,101276.00075113955,0.0,101276.00075113955,1.0,2.402,8104.5,4.092,8147.815934487187,entry_grid_normal_long
20,11118,BTC,0.0,-9.3451702,101266.65558093955,0.0,101266.65558093955,1.0,5.815,8035.4,9.907,8081.832421915975,entry_grid_normal_long
21,11155,BTC,10.309109643807107,-4.8075193800000005,101272.15717120336,0.0,101272.15717120336,1.0,-2.973,8085.3,6.934,8081.832421915975,close_trailing_long
22,11281,BTC,0.0,-15.689144639999999,101256.46802656337,0.0,101256.46802656337,1.0,9.854,7960.8,16.788,8010.790398711304,entry_grid_normal_long
23,11323,BTC,-6.56900573519984,-4.803558280000001,101245.09546254817,0.0,101245.09546254817,1.0,-2.999,8008.6,13.789,8010.790398711304,close_trailing_long
24,11341,BTC,72.1247542647995,-4.819297032000001,101312.40091978096,0.0,101312.40091978096,1.0,-2.999,8034.84,10.79,8010.790398711304,close_trailing_long
25,11346,BTC,28.50830346737635,-4.8137780580000005,101336.09544519034,0.0,101336.09544519034,1.0,-3.001,8020.29,7.789,8010.790398711304,close_trailing_long
26,11355,BTC,-6.575576931333751,-4.80836344,101324.711504819,0.0,101324.711504819,1.0,-3.002,8008.6,4.787,8010.790398711304,close_trailing_long
27,11368,BTC,29.648683467376678,-4.814006134,101349.54618215238,0.0,101349.54618215238,1.0,-3.001,8020.67,1.786,8010.790398711304,close_trailing_long
28,11464,BTC,77.37641006835695,-2.586939,101424.33565322074,0.0,101424.33565322074,1.0,-1.605,8059.0,0.181,8010.790398711304,close_trailing_long
29,11494,BTC,1.160504816753052,-0.021060156,101425.4750978815,0.0,101425.4750978815,1.0,-0.013,8100.06,0.168,8010.790398711304,close_trailing_long
30,11542,BTC,0.0,-2.5095565200000003,101422.9655413615,0.0,101422.9655413615,1.0,1.578,7951.7,1.746,7957.385674102806,entry_initial_partial_long
31,11558,BTC,-3.4183942967884797,-2.4883865600000004,101417.0587605047,0.0,101417.0587605047,1.0,-1.564,7955.2,0.182,7957.385674102806,close_trailing_long
32,11575,BTC,0.1005462366635238,-0.020709312,101417.13859742937,0.0,101417.13859742937,1.0,-0.013,7965.12,0.169,7957.385674102806,close_trailing_long
33,11893,BTC,0.0,-2.5077569399999997,101414.63084048936,0.0,101414.63084048936,1.0,1.583,7920.9,1.752,7924.419451440281,entry_initial_partial_long
34,11998,BTC,39.100340690199836,-2.4945028920000003,101451.23667828756,0.0,101451.23667828756,1.0,-1.569,7949.34,0.183,7924.419451440281,close_trailing_long
35,12032,BTC,0.13754713127635113,-0.020631,101451.35359441883,0.0,101451.35359441883,1.0,-0.013,7935.0,0.17,7924.419451440281,close_trailing_long
36,12123,BTC,0.0,-2.51042604,101448.84316837884,0.0,101448.84316837884,1.0,1.598,7854.9,1.768,7861.584562638489,entry_initial_partial_long
37,12148,BTC,81.39453278063394,-2.5068288960000005,101527.73087226348,0.0,101527.73087226348,1.0,-1.584,7912.97,0.184,7861.584562638489,close_trailing_long
38,12505,BTC,0.0,-2.49202548,101525.23884678348,0.0,101525.23884678348,1.0,1.593,7821.8,1.777,7825.91950451631,entry_initial_partial_long
39,12534,BTC,11.6542288100347,-2.4941036160000003,101534.39897197751,0.0,101534.39897197751,1.0,-1.592,7833.24,0.185,7825.91950451631,close_trailing_long
