,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,64,BTC,0.0,-2.51244308,99997.48755692,0.0,99997.48755692,1.0,1.942,6468.7,1.942,6468.7,entry_initial_normal_long
1,72,BTC,36.65730000000031,-2.233858,100031.91099892,0.0,100031.91099892,1.0,-1.721,6490.0,0.221,6468.7,close_trailing_long
2,3667,BTC,0.0,-2.00485362,100029.90614529999,0.0,100029.90614529999,1.0,1.551,6463.1,1.772,6463.79841986456,entry_initial_partial_long
3,3668,BTC,0.0,-3.23077088,100026.67537441998,0.0,100026.67537441998,1.0,2.531,6382.4,4.303,6415.9203346502445,entry_grid_normal_long
4,3668,BTC,0.0,-7.775340300000001,100018.90003411999,0.0,100018.90003411999,1.0,6.147,6324.5,10.45,6362.144181818183,entry_grid_normal_long
5,3669,BTC,0.0,-17.11056634,100001.78946777999,0.0,100001.78946777999,1.0,13.697,6246.1,24.147,6296.319973495673,entry_grid_cropped_long
6,3671,BTC,-20.76111293328701,-4.132530000000001,99976.89582484671,0.0,99976.89582484671,1.0,-3.285,6290.0,20.862,6296.319973495673,close_trailing_long
7,3673,BTC,67.91320704020866,-4.1490056,100040.66002628692,0.0,100040.66002628692,1.0,-3.284,6317.0,17.578,6296.319973495673,close_trailing_long
8,3680,BTC,158.31956709321733,-4.169605400000001,100194.80998798013,0.0,100194.80998798013,1.0,-3.286,6344.5,14.292,6296.319973495673,close_trailing_long
9,3732,BTC,-20.80535274775672,-4.141336,100169.86329923237,0.0,100169.86329923237,1.0,-3.292,6290.0,11.0,6296.319973495673,close_trailing_long
10,3886,BTC,0.0,-16.60238202,100153.26091721236,0.0,100153.26091721236,1.0,13.433,6179.7,24.433,6232.203569289584,entry_grid_cropped_long
11,4182,BTC,-8.986664318578098,-4.1413716,100140.13288129379,0.0,100140.13288129379,1.0,-3.324,6229.5,21.109,6232.203569289584,close_trailing_long
12,4219,BTC,-4.0006643185780995,-4.1423688,100131.9898481752,0.0,100131.9898481752,1.0,-3.324,6231.0,17.785,6232.203569289584,close_trailing_long
13,4249,BTC,52.49153925071148,-4.1524208,100180.32896662591,0.0,100180.32896662591,1.0,-3.323,6248.0,14.462,6232.203569289584,close_trailing_long
14,4270,BTC,19.273132112132316,-4.148270000000001,100195.45382873804,0.0,100195.45382873804,1.0,-3.325,6238.0,11.137,6232.203569289584,close_trailing_long
15,4300,BTC,-20.959367887868893,-4.1402235,100170.35423735017,0.0,100170.35423735017,1.0,-3.325,6225.9,7.812,6232.203569289584,close_trailing_long
16,4345,BTC,57.51063211213232,-4.1559175,100223.7089519623,0.0,100223.7089519623,1.0,-3.325,6249.5,4.487,6232.203569289584,close_trailing_long
17,4354,BTC,155.64492854284273,-4.176790800000001,100375.17708970515,0.0,100375.17708970515,1.0,-3.326,6279.0,1.161,6232.203569289584,close_trailing_long
18,4381,BTC,0.27597699139704857,-1.1604915000000002,100374.29257519654,0.0,100374.29257519654,1.0,-0.931,6232.5,0.23,6232.203569289584,close_trailing_long
19,4485,BTC,0.0,-2.0140566600000005,100372.27851853654,0.0,100372.27851853654,1.0,1.631,6174.3,1.861,6181.456271325419,entry_initial_partial_long
20,4568,BTC,53.82823401089239,-2.0246841,100424.08206844743,0.0,100424.08206844743,1.0,-1.629,6214.5,0.232,6181.456271325419,close_trailing_long
21,4735,BTC,0.0,-2.0144922,100422.06757624743,0.0,100422.06757624743,1.0,1.637,6153.0,1.869,6156.532292641786,entry_initial_partial_long
22,4737,BTC,0.0,-3.2461860000000002,100418.82139024742,0.0,100418.82139024742,1.0,2.67,6079.0,4.539,6110.925061676029,entry_grid_normal_long
23,4763,BTC,0.0,-7.811793519999999,100411.00959672742,0.0,100411.00959672742,1.0,6.484,6023.9,11.023,6059.734777732696,entry_grid_normal_long
24,4765,BTC,-21.023883289947516,-4.1491374400000005,100385.83657599748,0.0,100385.83657599748,1.0,-3.427,6053.6,7.596,6059.734777732696,close_trailing_long
25,4784,BTC,204.81541671005124,-4.1943053,100586.45768740753,0.0,100586.45768740753,1.0,-3.427,6119.5,4.169,6059.734777732696,close_trailing_long
26,4804,BTC,418.020008043655,-4.2442179,101000.23347755118,0.0,101000.23347755118,1.0,-3.433,6181.5,0.736,6059.734777732696,close_trailing_long
27,4816,BTC,58.64708068911745,-0.615279,101058.2652792403,0.0,101058.2652792403,1.0,-0.498,6177.5,0.238,6059.734777732696,close_trailing_long
28,5611,BTC,0.0,-2.0225342,101056.24274504029,0.0,101056.24274504029,1.0,1.657,6103.0,1.895,6097.566162058249,entry_initial_partial_long
29,5635,BTC,8.180303307423713,-2.023589,101062.39945934771,0.0,101062.39945934771,1.0,-1.658,6102.5,0.237,6097.566162058249,close_trailing_long
30,5848,BTC,0.0,-2.0253426,101060.37411674771,0.0,101060.37411674771,1.0,1.67,6063.9,1.907,6068.083996018775,entry_initial_partial_long
31,5859,BTC,36.57781064466453,-2.0328420000000005,101094.91908539238,0.0,101094.91908539238,1.0,-1.669,6090.0,0.238,6068.083996018775,close_trailing_long
32,6127,BTC,0.0,-2.02657788,101092.89250751238,0.0,101092.89250751238,1.0,1.674,6053.1,1.912,6054.965162684346,entry_initial_partial_long
33,6154,BTC,3.4042828290890266,-2.0266722,101094.27011814147,0.0,101094.27011814147,1.0,-1.673,6057.0,0.239,6054.965162684346,close_trailing_long
34,6286,BTC,0.004534837315653931,-0.0012119000000000001,101094.2734410788,0.0,101094.2734410788,1.0,-0.001,6059.5,0.238,6054.965162684346,close_trailing_long
35,6295,BTC,0.0,-2.02904352,101092.2443975588,0.0,101092.2443975588,1.0,1.688,6010.2,1.926,6015.731728306788,entry_initial_partial_long
36,6296,BTC,0.0,-3.268188,101088.9762095588,0.0,101088.9762095588,1.0,2.751,5940.0,4.677,5971.186510309787,entry_grid_normal_long
37,6307,BTC,0.0,-7.865006820000001,101081.1112027388,0.0,101081.1112027388,1.0,6.681,5886.1,11.358,5921.136943891432,entry_grid_normal_long
38,6369,BTC,11.874951119354822,-4.1838819,101088.80227195815,0.0,101088.80227195815,1.0,-3.531,5924.5,7.827,5921.136943891432,close_trailing_long
39,6692,BTC,84.26045111935483,-4.198359000000001,101168.8643640775,0.0,101168.8643640775,1.0,-3.531,5945.0,4.296,5921.136943891432,close_trailing_long
40,6696,BTC,199.1870402876805,-4.224897,101363.82650736517,0.0,101363.82650736517,1.0,-3.534,5977.5,0.762,5921.136943891432,close_trailing_long
41,6724,BTC,36.63620000812983,-0.6195728,101399.8431345733,0.0,101399.8431345733,1.0,-0.517,5992.0,0.245,5921.136943891432,close_trailing_long
42,7782,BTC,129.0324487465993,-0.3159422,101528.5596411199,0.0,101528.5596411199,1.0,-0.245,6447.8,0.0,5921.136943891432,close_grid_long
43,8001,BTC,0.0,-2.5506482800000003,101526.0089928399,0.0,101526.0089928399,1.0,1.997,6386.2,1.997,6386.2,entry_initial_normal_long
44,8041,BTC,89.91600000000032,-2.278698,101613.6462948399,0.0,101613.6462948399,1.0,-1.77,6437.0,0.227,6386.2,close_trailing_long
45,8299,BTC,0.0,-2.0360472400000003,101611.61024759989,0.0,101611.61024759989,1.0,1.597,6374.6,1.824,6376.043640350877,entry_initial_partial_long
46,8356,BTC,41.426350000001015,-2.0435184000000004,101650.99307919989,0.0,101650.99307919989,1.0,-1.596,6402.0,0.228,6376.043640350877,close_trailing_long
47,8674,BTC,0.0,-2.0389937400000004,101648.95408545989,0.0,101648.95408545989,1.0,1.607,6344.1,1.835,6348.06901907357,entry_initial_partial_long
48,8728,BTC,32.81215536784591,-2.0455622,101679.72067862774,0.0,101679.72067862774,1.0,-1.606,6368.5,0.229,6348.06901907357,close_trailing_long
49,8738,BTC,0.0,-2.0366722000000004,101677.68400642773,0.0,101677.68400642773,1.0,1.609,6329.0,1.838,6331.375846228427,entry_initial_partial_long
50,8772,BTC,47.635639264689736,-2.0456976000000004,101723.27394809242,0.0,101723.27394809242,1.0,-1.608,6361.0,0.23,6331.375846228427,close_trailing_long
51,8774,BTC,0.07012415377157322,-0.0012803,101723.3427919462,0.0,101723.3427919462,1.0,-0.001,6401.5,0.229,6331.375846228427,close_trailing_long
52,9462,BTC,0.0,-2.04075102,101721.3020409262,0.0,101721.3020409262,1.0,1.617,6310.3,1.846,6312.914500967664,entry_initial_partial_long
53,9693,BTC,43.7430809372226,-2.04782,101762.99730186342,0.0,101762.99730186342,1.0,-1.615,6340.0,0.231,6312.914500967664,close_trailing_long
