,balance,equity,balance_btc,equity_btc
0,1001.7015174838,1000.0,0.0,0.0
60,1001.7015174838,1000.0,0.0,0.0
120,1001.7015174838,1000.0,0.0,0.0
180,1001.7015174838,1000.0,0.0,0.0
240,1001.7015174838,1000.0,0.0,0.0
300,1001.7015174838,1000.0,0.0,0.0
360,1001.7015174838,1000.0,0.0,0.0
420,1001.7015174838,1000.0,0.0,0.0
480,1001.7015174838,1000.0,0.0,0.0
540,1001.7015174838,1000.0,0.0,0.0
600,1001.7015174838,1000.0,0.0,0.0
660,1001.7015174838,1000.0,0.0,0.0
720,1001.7015174838,1000.0,0.0,0.0
780,1001.7015174838,1000.0,0.0,0.0
840,1001.7015174838,1000.0,0.0,0.0
900,1001.7015174838,1000.0,0.0,0.0
960,1001.7015174838,1000.0,0.0,0.0
1020,1001.7015174838,1000.0,0.0,0.0
1080,1001.7015174838,1000.0,0.0,0.0
1140,1001.7015174838,1000.0,0.0,0.0
1200,1001.7015174838,1000.0,0.0,0.0
1260,1001.7015174838,1000.0,0.0,0.0
1320,1001.7015174838,1000.0,0.0,0.0
1380,1001.7015174838,1000.0,0.0,0.0
1440,1001.7015174838,1000.0,0.0,0.0
1500,1001.7015174838,1000.0,0.0,0.0
1560,1001.7015174838,1000.0,0.0,0.0
1620,1001.7015174838,1000.0,0.0,0.0
1680,1001.7015174838,1000.0,0.0,0.0
1740,1001.7015174838,1000.0,0.0,0.0
1800,1001.7015174838,1000.0,0.0,0.0
1860,1001.7015174838,1000.0,0.0,0.0
1920,1001.7015174838,1000.0,0.0,0.0
1980,1001.7015174838,1000.0,0.0,0.0
2040,1001.7015174838,1000.0,0.0,0.0
2100,1001.7015174838,1000.0,0.0,0.0
2160,1001.7015174838,1000.0,0.0,0.0
2220,1001.7015174838,1000.0,0.0,0.0
2280,1001.7015174838,1001.7015174838,0.0,0.0
2340,1001.7015174838,1001.7015174838,0.0,0.0
2400,1001.7015174838,1001.7015174838,0.0,0.0
2460,1001.7015174838,1001.7015174838,0.0,0.0
2520,1001.7015174838,1001.7015174838,0.0,0.0
2580,1001.7015174838,1001.7015174838,0.0,0.0
2640,1001.7015174838,1001.7015174838,0.0,0.0
2700,1001.7015174838,1001.7015174838,0.0,0.0
2760,1001.7015174838,1001.7015174838,0.0,0.0
2820,1001.7015174838,1001.7015174838,0.0,0.0
2880,1001.7015174838,1001.7015174838,0.0,0.0
2940,1001.7015174838,1001.7015174838,0.0,0.0
3000,1001.6512215838,1001.7015174838,0.0,0.0
3060,1004.2624486725999,1001.9314215838,0.0,0.28020000000000683
3120,1003.8647245386001,1004.2624486725999,0.0,0.0
3180,1019.2746613690854,977.6860535386002,0.0,-26.178670999999916
3240,1023.1227144754,1025.6950132578,0.0,3.242842836783063
3300,1023.1227144754,1023.1227144754,0.0,0.0
3360,1023.1227144754,1023.1227144754,0.0,0.0
3420,1023.1227144754,1023.1227144754,0.0,0.0
3480,1023.1227144754,1023.1227144754,0.0,0.0
3540,1023.0713424414,1023.1227144754,0.0,0.0
3600,1023.5663721052,1021.4318094414,0.0,-1.6395329999999806
