,balance,equity,balance_btc,equity_btc
0,1002.2983726039998,1000.0,0.0,0.0
60,1002.2983726039998,1000.0,0.0,0.0
120,1002.2983726039998,1000.0,0.0,0.0
180,1008.1757983299998,1002.1832326039998,0.0,-0.11513999999998059
240,1008.1757983299998,1008.1757983299998,0.0,0.0
300,1009.1628812299998,1008.1757983299998,0.0,0.0
360,1009.0544377139998,1009.1628812299998,0.0,0.0
420,1009.6733486979998,1006.8415577139998,0.0,-2.2128800000000615
480,1009.6733486979998,1009.6733486979998,0.0,0.0
540,1009.6733486979998,1009.6733486979998,0.0,0.0
600,1009.6733486979998,1009.6733486979998,0.0,0.0
660,1011.4258790739999,1009.6733486979998,0.0,0.0
720,1011.4258790739999,1011.4258790739999,0.0,0.0
780,1011.3751123259999,1011.4258790739999,0.0,0.0
840,1012.131204126,1012.2390226059999,0.0,0.0
900,1012.131204126,1012.131204126,0.0,0.0
960,1012.131204126,1012.131204126,0.0,0.0
1020,1012.131204126,1012.131204126,0.0,0.0
1080,1012.131204126,1012.131204126,0.0,0.0
1140,1012.131204126,1012.131204126,0.0,0.0
1200,1013.37454887,1012.131204126,0.0,0.0
1260,1013.37454887,1013.37454887,0.0,0.0
1320,1013.37454887,1013.37454887,0.0,0.0
1380,1013.32366755,1013.37454887,0.0,0.0
1440,1024.5175270268994,1013.26668745,0.0,0.0
1500,1032.90776358,1030.54686406,0.0,6.029337033100512
1560,1032.90776358,1032.90776358,0.0,0.0
1620,1035.277689214,1032.90776358,0.0,0.0
1680,1036.505329214,1037.471769214,0.0,2.194079999999983
1740,1036.505329214,1036.505329214,0.0,0.0
1800,1036.505329214,1036.505329214,0.0,0.0
1860,1041.9271732519999,1036.505329214,0.0,0.0
1920,1046.6285556919997,1041.2774132519999,0.0,-0.6497600000000221
1980,1046.6285556919997,1046.6285556919997,0.0,0.0
2040,1046.6285556919997,1046.6285556919997,0.0,0.0
2100,1046.6285556919997,1046.6285556919997,0.0,0.0
2160,1046.5760187399997,1046.6285556919997,0.0,0.0
2220,1051.0114240199996,1051.8736587399997,0.0,5.2976400000000226
2280,1070.6523403159997,1051.0114240199996,0.0,0.0
2340,1075.60302266,1070.8662403159997,0.0,0.21389999999997644
2400,1075.60302266,1075.60302266,0.0,0.0
2460,1075.60302266,1075.60302266,0.0,0.0
2520,1077.315878668,1075.60302266,0.0,0.0
2580,1077.470821568,1075.9387686680002,0.0,-1.3771099999999765
2640,1078.5187483720003,1077.470821568,0.0,0.0
2700,1083.2662703020003,1078.5187483720003,0.0,0.0
2760,1083.2662703020003,1083.2662703020003,0.0,0.0
2820,1083.2662703020003,1083.2662703020003,0.0,0.0
2880,1083.2662703020003,1083.2662703020003,0.0,0.0
2940,1084.4994145520004,1083.2662703020003,0.0,0.0
3000,1084.4994145520004,1084.4994145520004,0.0,0.0
3060,1084.4994145520004,1084.4994145520004,0.0,0.0
3120,1084.4994145520004,1084.4994145520004,0.0,0.0
3180,1084.4994145520004,1084.4994145520004,0.0,0.0
3240,1084.4994145520004,1084.4994145520004,0.0,0.0
3300,1084.4994145520004,1084.4994145520004,0.0,0.0
3360,1084.4994145520004,1084.4994145520004,0.0,0.0
3420,1084.4994145520004,1084.4994145520004,0.0,0.0
3480,1084.4994145520004,1084.4994145520004,0.0,0.0
3540,1084.4994145520004,1084.4994145520004,0.0,0.0
3600,1085.6518078520005,1084.4994145520004,0.0,0.0
3660,1090.7971126200005,1085.6518078520005,0.0,0.0
3720,1090.7971126200005,1090.7971126200005,0.0,0.0
3780,1090.7971126200005,1090.7971126200005,0.0,0.0
3840,1090.7971126200005,1090.7971126200005,0.0,0.0
3900,1090.7971126200005,1090.7971126200005,0.0,0.0
3960,1090.7971126200005,1090.7971126200005,0.0,0.0
4020,1090.7971126200005,1090.7971126200005,0.0,0.0
4080,1090.7971126200005,1090.7971126200005,0.0,0.0
4140,1090.7971126200005,1090.7971126200005,0.0,0.0
4200,1090.7971126200005,1090.7971126200005,0.0,0.0
4260,1092.1906681760006,1090.7971126200005,0.0,0.0
4320,1095.6158900600008,1093.5834784760007,0.0,0.0
4380,1099.4319865800005,1095.6158900600008,0.0,0.0
4440,1099.4319865800005,1099.4319865800005,0.0,0.0
4500,1099.4319865800005,1099.4319865800005,0.0,0.0
4560,1099.4319865800005,1099.4319865800005,0.0,0.0
4620,1099.4319865800005,1099.4319865800005,0.0,0.0
4680,1099.4319865800005,1099.4319865800005,0.0,0.0
4740,1099.4319865800005,1099.4319865800005,0.0,0.0
4800,1099.4319865800005,1099.4319865800005,0.0,0.0
4860,1099.4319865800005,1099.4319865800005,0.0,0.0
4920,1099.8157501060002,1099.4319865800005,0.0,0.0
4980,1100.8804165060003,1099.4880901060003,0.0,-0.3276600000000316
5040,1100.8804165060003,1100.8804165060003,0.0,0.0
5100,1100.8804165060003,1100.8804165060003,0.0,0.0
5160,1100.8804165060003,1100.8804165060003,0.0,0.0
5220,1100.8804165060003,1100.8804165060003,0.0,0.0
5280,1100.8804165060003,1100.8804165060003,0.0,0.0
5340,1100.8804165060003,1100.8804165060003,0.0,0.0
5400,1100.8804165060003,1100.8804165060003,0.0,0.0
5460,1100.8804165060003,1100.8804165060003,0.0,0.0
5520,1100.8804165060003,1100.8804165060003,0.0,0.0
5580,1100.8804165060003,1100.8804165060003,0.0,0.0
5640,1100.8804165060003,1100.8804165060003,0.0,0.0
5700,1100.8804165060003,1100.8804165060003,0.0,0.0
5760,1100.8804165060003,1100.8804165060003,0.0,0.0
5820,1100.8804165060003,1100.8804165060003,0.0,0.0
5880,1100.8804165060003,1100.8804165060003,0.0,0.0
5940,1100.8804165060003,1100.8804165060003,0.0,0.0
6000,1100.8804165060003,1100.8804165060003,0.0,0.0
6060,1100.8804165060003,1100.8804165060003,0.0,0.0
6120,1100.8804165060003,1100.8804165060003,0.0,0.0
6180,1100.8804165060003,1100.8804165060003,0.0,0.0
6240,1100.8804165060003,1100.8804165060003,0.0,0.0
6300,1100.8804165060003,1100.8804165060003,0.0,0.0
6360,1100.8804165060003,1100.8804165060003,0.0,0.0
6420,1100.8804165060003,1100.8804165060003,0.0,0.0
6480,1100.8804165060003,1100.8804165060003,0.0,0.0
6540,1100.8804165060003,1100.8804165060003,0.0,0.0
6600,1100.8804165060003,1100.8804165060003,0.0,0.0
6660,1100.8804165060003,1100.8804165060003,0.0,0.0
6720,1100.8804165060003,1100.8804165060003,0.0,0.0
6780,1100.8804165060003,1100.8804165060003,0.0,0.0
6840,1100.8804165060003,1100.8804165060003,0.0,0.0
6900,1100.8804165060003,1100.8804165060003,0.0,0.0
6960,1100.8804165060003,1100.8804165060003,0.0,0.0
7020,1100.8804165060003,1100.8804165060003,0.0,0.0
7080,1100.8804165060003,1100.8804165060003,0.0,0.0
7140,1100.8804165060003,1100.8804165060003,0.0,0.0
7200,1100.8804165060003,1100.8804165060003,0.0,0.0
7260,1100.8804165060003,1100.8804165060003,0.0,0.0
7320,1100.8804165060003,1100.8804165060003,0.0,0.0
7380,1101.3564790540004,1100.8804165060003,0.0,0.0
7440,1101.3564790540004,1101.3564790540004,0.0,0.0
7500,1103.2734950080005,1101.3564790540004,0.0,0.0
7560,1103.6257700380006,1103.2734950080005,0.0,0.0
7620,1103.6257700380006,1103.6257700380006,0.0,0.0
7680,1103.6257700380006,1103.6257700380006,0.0,0.0
7740,1103.6257700380006,1103.6257700380006,0.0,0.0
7800,1106.3915265205862,1103.6257700380006,0.0,0.0
7860,1108.957353288001,1105.111500068001,0.0,-1.2800264525850862
7920,1112.117984142001,1108.957353288001,0.0,0.0
7980,1115.533912410001,1112.117984142001,0.0,0.0
8040,1115.533912410001,1115.533912410001,0.0,0.0
8100,1115.533912410001,1115.533912410001,0.0,0.0
8160,1115.189992074001,1115.533912410001,0.0,0.0
8220,1117.109210442001,1115.855352074001,0.0,0.6653599999999825
8280,1117.053133302001,1117.109210442001,0.0,0.0
8340,1121.668921602001,1120.221433302001,0.0,3.1683000000000243
8400,1121.668921602001,1121.668921602001,0.0,0.0
8460,1121.668921602001,1121.668921602001,0.0,0.0
8520,1121.668921602001,1121.668921602001,0.0,0.0
8580,1121.668921602001,1121.668921602001,0.0,0.0
8640,1121.668921602001,1121.668921602001,0.0,0.0
8700,1121.668921602001,1121.668921602001,0.0,0.0
8760,1121.668921602001,1121.668921602001,0.0,0.0
8820,1123.193453652001,1121.668921602001,0.0,0.0
8880,1139.344997500001,1121.492453652001,0.0,-1.7010000000000025
8940,1139.344997500001,1139.344997500001,0.0,0.0
9000,1139.344997500001,1139.344997500001,0.0,0.0
9060,1139.344997500001,1139.344997500001,0.0,0.0
9120,1139.344997500001,1139.344997500001,0.0,0.0
9180,1139.344997500001,1139.344997500001,0.0,0.0
9240,1139.344997500001,1139.344997500001,0.0,0.0
9300,1139.344997500001,1139.344997500001,0.0,0.0
9360,1139.344997500001,1139.344997500001,0.0,0.0
9420,1139.116186164001,1139.344997500001,0.0,0.0
9480,1139.0018337800009,1139.116186164001,0.0,0.0
9540,1139.0018337800009,1139.0018337800009,0.0,0.0
9600,1139.0018337800009,1139.0018337800009,0.0,0.0
9660,1139.0018337800009,1139.0018337800009,0.0,0.0
9720,1139.0018337800009,1139.0018337800009,0.0,0.0
9780,1139.0018337800009,1139.0018337800009,0.0,0.0
