,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,137,DOGE,0.0,-0.048434688000000004,999.951565312,0.0,999.951565312,1.0,576.0,0.42044,576.0,0.42044,entry_initial_normal_long
1,165,DOGE,2.108159999999998,-0.04885632,1002.0108689919999,0.0,1002.0108689919999,1.0,-576.0,0.4241,0.0,0.42044,close_trailing_long
2,171,DOGE,0.0,-0.048574884000000006,1001.9622941079999,0.0,1001.9622941079999,1.0,582.0,0.41731,582.0,0.41731,entry_initial_normal_long
3,177,DOGE,0.9253799999999885,-0.048759960000000005,1002.838914148,0.0,1002.838914148,1.0,-582.0,0.4189,0.0,0.41731,close_trailing_long
4,179,DOGE,0.0,-0.04856973,1002.7903444179999,0.0,1002.7903444179999,1.0,583.0,0.41655,583.0,0.41655,entry_initial_normal_long
5,214,DOGE,2.1279500000000247,-0.04899532000000001,1004.8692990979999,0.0,1004.8692990979999,1.0,-583.0,0.4202,0.0,0.41655,close_trailing_long
6,356,DOGE,0.0,-0.048723558,1004.8205755399999,0.0,1004.8205755399999,1.0,597.0,0.40807,597.0,0.40807,entry_initial_normal_long
7,376,DOGE,-0.1313399999999988,-0.04869729,1004.64053825,0.0,1004.64053825,1.0,-597.0,0.40785,0.0,0.40807,close_trailing_long
8,380,DOGE,0.0,-0.048697828,1004.591840422,0.0,1004.591840422,1.0,601.0,0.40514,601.0,0.40514,entry_initial_normal_long
9,475,DOGE,1.0577599999999903,-0.04890938,1005.600691042,0.0,1005.600691042,1.0,-601.0,0.4069,0.0,0.40514,close_trailing_long
10,835,DOGE,0.0,-0.048769400000000004,1005.551921642,0.0,1005.551921642,1.0,590.0,0.4133,590.0,0.4133,entry_initial_normal_long
11,840,DOGE,0.9439999999999943,-0.0489582,1006.446963442,0.0,1006.446963442,1.0,-590.0,0.4149,0.0,0.4133,close_trailing_long
12,842,DOGE,0.0,-0.048794142,1006.3981693,0.0,1006.3981693,1.0,591.0,0.41281,591.0,0.41281,entry_initial_normal_long
13,849,DOGE,-0.1359300000000047,-0.048766956,1006.2134723439999,0.0,1006.2134723439999,1.0,-591.0,0.41258,0.0,0.41281,close_trailing_long
14,917,DOGE,0.0,-0.048733728,1006.1647386159999,0.0,1006.1647386159999,1.0,596.0,0.40884,596.0,0.40884,entry_initial_normal_long
15,938,DOGE,3.8501600000000127,-0.04950376,1009.9653948559999,0.0,1009.9653948559999,1.0,-596.0,0.4153,0.0,0.40884,close_trailing_long
16,1236,DOGE,0.0,-0.048914866,1009.9164799899999,0.0,1009.9164799899999,1.0,583.0,0.41951,583.0,0.41951,entry_initial_normal_long
17,1239,DOGE,1.3350700000000084,-0.049181880000000004,1011.2023681099998,0.0,1011.2023681099998,1.0,-583.0,0.4218,0.0,0.41951,close_trailing_long
18,1436,DOGE,0.0,-0.049053242000000004,1011.1533148679998,0.0,1011.1533148679998,1.0,587.0,0.41783,587.0,0.41783,entry_initial_normal_long
19,1441,DOGE,-0.1350099999999721,-0.049026240000000006,1010.9692786279999,0.0,1010.9692786279999,1.0,-587.0,0.4176,0.0,0.41783,close_trailing_long
20,1443,DOGE,0.0,-0.048965192000000005,1010.9203134359999,0.0,1010.9203134359999,1.0,587.0,0.41708,587.0,0.41708,entry_initial_normal_long
