,balance,equity,balance_btc,equity_btc
0,1006.7445912559999,1000.0,0.0,0.0
60,1006.7445912559999,1000.0,0.0,0.0
120,1006.7445912559999,1000.0,0.0,0.0
180,1009.1664740179999,1006.7445912559999,0.0,0.0
240,1009.1664740179999,1009.1664740179999,0.0,0.0
300,1009.1664740179999,1009.1664740179999,0.0,0.0
360,1013.091557018,1009.1664740179999,0.0,0.0
420,1013.091557018,1013.091557018,0.0,0.0
480,1013.091557018,1013.091557018,0.0,0.0
540,1013.091557018,1013.091557018,0.0,0.0
600,1013.091557018,1013.091557018,0.0,0.0
660,1013.091557018,1013.091557018,0.0,0.0
720,1013.091557018,1013.091557018,0.0,0.0
780,1013.091557018,1013.091557018,0.0,0.0
840,1013.091557018,1013.091557018,0.0,0.0
900,1013.091557018,1013.091557018,0.0,0.0
960,1013.091557018,1013.091557018,0.0,0.0
1020,1013.091557018,1013.091557018,0.0,0.0
1080,1013.091557018,1013.091557018,0.0,0.0
1140,1013.091557018,1013.091557018,0.0,0.0
1200,1013.091557018,1013.091557018,0.0,0.0
1260,1013.091557018,1013.091557018,0.0,0.0
1320,1013.091557018,1013.091557018,0.0,0.0
1380,1013.091557018,1013.091557018,0.0,0.0
1440,1019.5480730759999,1013.091557018,0.0,0.0
1500,1019.5480730759999,1019.5480730759999,0.0,0.0
1560,1019.5480730759999,1019.5480730759999,0.0,0.0
1620,1019.5480730759999,1019.5480730759999,0.0,0.0
1680,1019.5480730759999,1019.5480730759999,0.0,0.0
1740,1019.5480730759999,1019.5480730759999,0.0,0.0
1800,1019.5480730759999,1019.5480730759999,0.0,0.0
1860,1023.2041576639999,1019.5480730759999,0.0,0.0
1920,1023.4082374879999,1023.2041576639999,0.0,0.0
1980,1023.4082374879999,1023.4082374879999,0.0,0.0
2040,1023.4082374879999,1023.4082374879999,0.0,0.0
2100,1023.4082374879999,1023.4082374879999,0.0,0.0
2160,1023.4082374879999,1023.4082374879999,0.0,0.0
2220,1023.4082374879999,1023.4082374879999,0.0,0.0
2280,1025.27217854,1023.4082374879999,0.0,0.0
2340,1025.27217854,1025.27217854,0.0,0.0
2400,1025.27217854,1025.27217854,0.0,0.0
2460,1025.27217854,1025.27217854,0.0,0.0
2520,1025.27217854,1025.27217854,0.0,0.0
2580,1025.27217854,1025.27217854,0.0,0.0
2640,1028.51224002,1025.27217854,0.0,0.0
2700,1028.51224002,1028.51224002,0.0,0.0
2760,1028.51224002,1028.51224002,0.0,0.0
2820,1028.51224002,1028.51224002,0.0,0.0
2880,1028.51224002,1028.51224002,0.0,0.0
2940,1028.51224002,1028.51224002,0.0,0.0
3000,1028.51224002,1028.51224002,0.0,0.0
3060,1028.51224002,1028.51224002,0.0,0.0
3120,1028.51224002,1028.51224002,0.0,0.0
3180,1028.51224002,1028.51224002,0.0,0.0
3240,1028.51224002,1028.51224002,0.0,0.0
3300,1028.51224002,1028.51224002,0.0,0.0
3360,1028.51224002,1028.51224002,0.0,0.0
3420,1028.51224002,1028.51224002,0.0,0.0
3480,1028.51224002,1028.51224002,0.0,0.0
3540,1028.51224002,1028.51224002,0.0,0.0
3600,1028.51224002,1028.51224002,0.0,0.0
3660,1028.51224002,1028.51224002,0.0,0.0
3720,1028.51224002,1028.51224002,0.0,0.0
3780,1028.51224002,1028.51224002,0.0,0.0
3840,1028.51224002,1028.51224002,0.0,0.0
3900,1028.51224002,1028.51224002,0.0,0.0
3960,1028.51224002,1028.51224002,0.0,0.0
4020,1028.51224002,1028.51224002,0.0,0.0
4080,1028.51224002,1028.51224002,0.0,0.0
4140,1028.51224002,1028.51224002,0.0,0.0
4200,1028.51224002,1028.51224002,0.0,0.0
4260,1028.474585898,1028.51224002,0.0,0.0
4320,1028.474585898,1028.474585898,0.0,0.0
4380,1028.474585898,1028.474585898,0.0,0.0
4440,1028.474585898,1028.474585898,0.0,0.0
4500,1028.474585898,1028.474585898,0.0,0.0
4560,1028.474585898,1028.474585898,0.0,0.0
4620,1028.474585898,1028.474585898,0.0,0.0
4680,1028.474585898,1028.474585898,0.0,0.0
4740,1028.474585898,1028.474585898,0.0,0.0
4800,1028.474585898,1028.474585898,0.0,0.0
