,balance,equity,balance_btc,equity_btc
0,999.7668149248,1000.0,0.0,0.0
60,999.7668149248,1000.0,0.0,0.0
120,999.7668149248,1000.0,0.0,0.0
180,999.7668149248,1000.0,0.0,0.0
240,999.7668149248,1000.0,0.0,0.0
300,999.7668149248,1000.0,0.0,0.0
360,999.7668149248,1000.0,0.0,0.0
420,999.7668149248,1000.0,0.0,0.0
480,999.7668149248,1000.0,0.0,0.0
540,999.7668149248,1000.0,0.0,0.0
600,999.7668149248,1000.0,0.0,0.0
660,999.7668149248,1000.0,0.0,0.0
720,999.7668149248,1000.0,0.0,0.0
780,999.7668149248,1000.0,0.0,0.0
840,999.7668149248,1000.0,0.0,0.0
900,999.7668149248,1000.0,0.0,0.0
960,999.7668149248,1000.0,0.0,0.0
1020,999.7668149248,1000.0,0.0,0.0
1080,999.7668149248,1000.0,0.0,0.0
1140,999.7668149248,1000.0,0.0,0.0
1200,999.7668149248,1000.0,0.0,0.0
1260,999.7668149248,1000.0,0.0,0.0
1320,999.7668149248,1000.0,0.0,0.0
1380,999.7668149248,1000.0,0.0,0.0
1440,999.7668149248,1000.0,0.0,0.0
1500,999.7668149248,1000.0,0.0,0.0
1560,999.7668149248,1000.0,0.0,0.0
1620,999.7668149248,1000.0,0.0,0.0
1680,999.7668149248,1000.0,0.0,0.0
1740,999.7668149248,1000.0,0.0,0.0
1800,999.7668149248,1000.0,0.0,0.0
1860,999.7668149248,1000.0,0.0,0.0
1920,999.7668149248,1000.0,0.0,0.0
1980,999.7668149248,1000.0,0.0,0.0
2040,999.7668149248,1000.0,0.0,0.0
2100,999.7668149248,1000.0,0.0,0.0
2160,999.7668149248,1000.0,0.0,0.0
2220,999.7668149248,1000.0,0.0,0.0
2280,999.7668149248,999.7668149248,0.0,0.0
2340,999.7668149248,999.7668149248,0.0,0.0
2400,999.7668149248,999.7668149248,0.0,0.0
2460,999.7668149248,999.7668149248,0.0,0.0
2520,999.7668149248,999.7668149248,0.0,0.0
2580,999.7668149248,999.7668149248,0.0,0.0
2640,999.7668149248,999.7668149248,0.0,0.0
2700,999.7668149248,999.7668149248,0.0,0.0
2760,999.7668149248,999.7668149248,0.0,0.0
2820,999.7668149248,999.7668149248,0.0,0.0
