,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2260,DOGE,0.0,-0.030677724000000003,999.969322276,0.0,999.969322276,1.0,42966.0,0.00357,42966.0,0.00357,entry_initial_normal_long
1,2267,DOGE,-0.17186399999998556,-0.030643351200000002,999.7668149248,0.0,999.7668149248,1.0,-42966.0,0.003566,0.0,0.00357,close_trailing_long
2,3056,DOGE,0.0,-0.030670560000000003,999.7361443648,0.0,999.7361443648,1.0,42480.0,0.00361,42480.0,0.00361,entry_initial_normal_long
3,3135,DOGE,-0.4248000000000011,-0.0305856,999.2807587648,0.0,999.2807587648,1.0,-42480.0,0.0036,0.0,0.00361,close_trailing_long
4,3158,DOGE,0.0,-0.030655670000000006,999.2501030948,0.0,999.2501030948,1.0,43177.0,0.00355,43177.0,0.00355,entry_initial_normal_long
5,3160,DOGE,0.0,-0.054570181200000005,999.1955329136,0.0,999.1955329136,1.0,81643.0,0.003342,124820.0,0.0034139501361961228,entry_trailing_normal_long
6,3162,DOGE,0.0,-0.1491186996,999.046414214,0.0,999.046414214,1.0,236022.0,0.003159,360842.0,0.003247190609740551,entry_trailing_normal_long
7,3166,DOGE,4.672366599054435,-0.0735117812,1003.6452690318545,0.0,1003.6452690318545,1.0,-111754.0,0.003289,249088.0,0.003247190609740551,close_trailing_long
8,3171,DOGE,8.28643262564783,-0.07456840560000001,1011.8571332519023,0.0,1011.8571332519023,1.0,-112268.0,0.003321,136820.0,0.003247190609740551,close_trailing_long
9,3173,DOGE,6.882832455296265,-0.0748845192,1018.6650811879986,0.0,1018.6650811879986,1.0,-113187.0,0.003308,23633.0,0.003247190609740551,close_trailing_long
10,3175,DOGE,0.0,-0.01565256,1018.6494286279985,0.0,1018.6494286279985,1.0,23716.0,0.0033,47349.0,0.0032736415907410597,entry_initial_partial_long
11,3179,DOGE,1.2006953200015582,-0.031240870200000003,1019.8188830778001,0.0,1019.8188830778001,1.0,-47349.0,0.003299,0.0,0.0032736415907410597,close_trailing_long
12,3180,DOGE,0.0,-0.031285643999999994,1019.7875974338001,0.0,1019.7875974338001,1.0,47188.0,0.003315,47188.0,0.003315,entry_initial_normal_long
13,3198,DOGE,1.7459560000000067,-0.031634835199999996,1021.5019185986001,0.0,1021.5019185986001,1.0,-47188.0,0.003352,0.0,0.003315,close_trailing_long
14,3199,DOGE,0.0,-0.031336856,1021.4705817426001,0.0,1021.4705817426001,1.0,46660.0,0.003358,46660.0,0.003358,entry_initial_normal_long
15,3214,DOGE,2.1930200000000077,-0.03177546,1023.6318262826001,0.0,1023.6318262826001,1.0,-46660.0,0.003405,0.0,0.003358,close_trailing_long
16,3220,DOGE,0.0,-0.031402248,1023.6004240346001,0.0,1023.6004240346001,1.0,46316.0,0.00339,46316.0,0.00339,entry_initial_normal_long
17,3236,DOGE,0.2778960000000168,-0.0314578272,1023.8468622074001,0.0,1023.8468622074001,1.0,-46316.0,0.003396,0.0,0.00339,close_trailing_long
18,3241,DOGE,0.0,-0.031408988,1023.8154532194002,0.0,1023.8154532194002,1.0,46463.0,0.00338,46463.0,0.00338,entry_initial_normal_long
19,3256,DOGE,-0.4646300000000012,-0.031316062,1023.3195071574002,0.0,1023.3195071574002,1.0,-46463.0,0.00337,0.0,0.00338,close_trailing_long
20,3258,DOGE,0.0,-0.03139315200000001,1023.2881140054002,0.0,1023.2881140054002,1.0,46716.0,0.00336,46716.0,0.00336,entry_initial_normal_long
21,3285,DOGE,1.6817760000000004,-0.0317295072,1024.9381604982002,0.0,1024.9381604982002,1.0,-46716.0,0.003396,0.0,0.00336,close_trailing_long
22,3560,DOGE,0.0,-0.031442392,1024.9067181062003,0.0,1024.9067181062003,1.0,47353.0,0.00332,47353.0,0.00332,entry_initial_normal_long
23,3575,DOGE,-0.047353000000006286,-0.0314329214,1024.8279321848004,0.0,1024.8279321848004,1.0,-47353.0,0.003319,0.0,0.00332,close_trailing_long
24,3579,DOGE,0.0,-0.031439100000000005,1024.7964930848004,0.0,1024.7964930848004,1.0,47635.0,0.0033,47635.0,0.0033,entry_initial_normal_long
25,3617,DOGE,0.19054000000000462,-0.031477208000000007,1024.9555558768004,0.0,1024.9555558768004,1.0,-47635.0,0.003304,0.0,0.0033,close_trailing_long
26,10938,DOGE,0.0,-0.031442806000000004,1024.9241130708003,0.0,1024.9241130708003,1.0,45047.0,0.00349,45047.0,0.00349,entry_initial_normal_long
27,10946,DOGE,0.3603759999999892,-0.0315148812,1025.2529741896003,0.0,1025.2529741896003,1.0,-45047.0,0.003498,0.0,0.00349,close_trailing_long
28,11130,DOGE,0.0,-0.031452414,1025.2215217756004,0.0,1025.2215217756004,1.0,45849.0,0.00343,45849.0,0.00343,entry_initial_normal_long
29,11400,DOGE,3.3011280000000007,-0.0321126396,1028.4905371360005,0.0,1028.4905371360005,1.0,-45849.0,0.003502,0.0,0.00343,close_trailing_long
30,12490,DOGE,0.0,-0.031551884,1028.4589852520005,0.0,1028.4589852520005,1.0,45994.0,0.00343,45994.0,0.00343,entry_initial_normal_long
31,12712,DOGE,1.9777420000000032,-0.0319474324,1030.4047798196004,0.0,1030.4047798196004,1.0,-45994.0,0.003473,0.0,0.00343,close_trailing_long
32,15030,DOGE,0.0,-0.031610375999999996,1030.3731694436005,0.0,1030.3731694436005,1.0,46214.0,0.00342,46214.0,0.00342,entry_initial_normal_long
33,15049,DOGE,0.739423999999998,-0.0317582608,1031.0808351828005,0.0,1031.0808351828005,1.0,-46214.0,0.003436,0.0,0.00342,close_trailing_long
34,16440,DOGE,0.0,-0.031630896000000006,1031.0492042868004,0.0,1031.0492042868004,1.0,46244.0,0.00342,46244.0,0.00342,entry_initial_normal_long
35,16578,DOGE,1.2948320000000115,-0.0318898624,1032.3121464244005,0.0,1032.3121464244005,1.0,-46244.0,0.003448,0.0,0.00342,close_trailing_long
36,16754,DOGE,0.0,-0.03166889,1032.2804775344005,0.0,1032.2804775344005,1.0,47267.0,0.00335,47267.0,0.00335,entry_initial_normal_long
37,16760,DOGE,0.3308690000000029,-0.031735063800000005,1032.5796114706004,0.0,1032.5796114706004,1.0,-47267.0,0.003357,0.0,0.00335,close_trailing_long
38,16812,DOGE,0.0,-0.031677228,1032.5479342426004,0.0,1032.5479342426004,1.0,47421.0,0.00334,47421.0,0.00334,entry_initial_normal_long
39,16815,DOGE,0.37936799999998866,-0.0317531016,1032.8955491410004,0.0,1032.8955491410004,1.0,-47421.0,0.003348,0.0,0.00334,close_trailing_long
40,17077,DOGE,0.0,-0.031686744,1032.8638623970005,0.0,1032.8638623970005,1.0,47721.0,0.00332,47721.0,0.00332,entry_initial_normal_long
41,17085,DOGE,2.9587019999999993,-0.0322784844,1035.7902859126004,0.0,1035.7902859126004,1.0,-47721.0,0.003382,0.0,0.00332,close_trailing_long
42,19238,DOGE,0.0,-0.03177552,1035.7585103926003,0.0,1035.7585103926003,1.0,47285.0,0.00336,47285.0,0.00336,entry_initial_normal_long
43,19243,DOGE,-0.4728500000000012,-0.031680950000000006,1035.2539794426004,0.0,1035.2539794426004,1.0,-47285.0,0.00335,0.0,0.00336,close_trailing_long
44,19274,DOGE,0.0,-0.031758724,1035.2222207186005,0.0,1035.2222207186005,1.0,47543.0,0.00334,47543.0,0.00334,entry_initial_normal_long
45,19451,DOGE,3.898526000000002,-0.0325384292,1039.0882082894004,0.0,1039.0882082894004,1.0,-47543.0,0.003422,0.0,0.00334,close_trailing_long
46,25288,DOGE,0.0,-0.03187687,1039.0563314194005,0.0,1039.0563314194005,1.0,44897.0,0.00355,44897.0,0.00355,entry_initial_normal_long
47,25335,DOGE,2.065261999999982,-0.032289922400000004,1041.0893034970004,0.0,1041.0893034970004,1.0,-44897.0,0.003596,0.0,0.00355,close_trailing_long
48,26639,DOGE,0.0,-0.0319382,1041.0573652970004,0.0,1041.0573652970004,1.0,45626.0,0.0035,45626.0,0.0035,entry_initial_normal_long
49,26654,DOGE,1.5512839999999883,-0.0322484568,1042.5764008402004,0.0,1042.5764008402004,1.0,-45626.0,0.003534,0.0,0.0035,close_trailing_long
50,26755,DOGE,0.0,-0.031983984,1042.5444168562005,0.0,1042.5444168562005,1.0,45954.0,0.00348,45954.0,0.00348,entry_initial_normal_long
51,26773,DOGE,0.9190800000000025,-0.0321678,1043.4313290562006,0.0,1043.4313290562006,1.0,-45954.0,0.0035,0.0,0.00348,close_trailing_long
52,26775,DOGE,0.0,-0.032010056,1043.3993190002006,0.0,1043.3993190002006,1.0,46124.0,0.00347,46124.0,0.00347,entry_initial_normal_long
53,26790,DOGE,-0.1844960000000045,-0.0319731568,1043.1828498434006,0.0,1043.1828498434006,1.0,-46124.0,0.003466,0.0,0.00347,close_trailing_long
54,27626,DOGE,0.0,-0.032002168000000004,1043.1508476754007,0.0,1043.1508476754007,1.0,46924.0,0.00341,46924.0,0.00341,entry_initial_normal_long
55,27642,DOGE,-0.42231599999999503,-0.0319177048,1042.6966139706008,0.0,1042.6966139706008,1.0,-46924.0,0.003401,0.0,0.00341,close_trailing_long
56,30964,DOGE,0.0,-0.031987184,1042.6646267866008,0.0,1042.6646267866008,1.0,46493.0,0.00344,46493.0,0.00344,entry_initial_normal_long
57,31067,DOGE,-0.46493000000000123,-0.031894198,1042.1678025886008,0.0,1042.1678025886008,1.0,-46493.0,0.00343,0.0,0.00344,close_trailing_long
58,31343,DOGE,0.0,-0.03197106,1042.1358315286009,0.0,1042.1358315286009,1.0,47718.0,0.00335,47718.0,0.00335,entry_initial_normal_long
59,31418,DOGE,2.2904639999999934,-0.0324291528,1044.3938663758008,0.0,1044.3938663758008,1.0,-47718.0,0.003398,0.0,0.00335,close_trailing_long
60,36821,DOGE,0.0,-0.032039336,1044.3618270398008,0.0,1044.3618270398008,1.0,48692.0,0.00329,48692.0,0.00329,entry_initial_normal_long
61,36847,DOGE,0.5356120000000077,-0.0321464584,1044.8652925814008,0.0,1044.8652925814008,1.0,-48692.0,0.003301,0.0,0.00329,close_trailing_long
62,36854,DOGE,0.0,-0.032053848,1044.8332387334008,0.0,1044.8332387334008,1.0,49012.0,0.00327,49012.0,0.00327,entry_initial_normal_long
63,36918,DOGE,0.7841919999999978,-0.0322106864,1045.5852200470008,0.0,1045.5852200470008,1.0,-49012.0,0.003286,0.0,0.00327,close_trailing_long
64,37018,DOGE,0.0,-0.032075838,1045.5531442090007,0.0,1045.5531442090007,1.0,49653.0,0.00323,49653.0,0.00323,entry_initial_normal_long
65,37027,DOGE,0.4965300000000013,-0.032175144,1046.0174990650007,0.0,1046.0174990650007,1.0,-49653.0,0.00324,0.0,0.00323,close_trailing_long
66,37032,DOGE,0.0,-0.032089232,1045.9854098330006,0.0,1045.9854098330006,1.0,49828.0,0.00322,49828.0,0.00322,entry_initial_normal_long
67,37058,DOGE,1.6941519999999872,-0.0324280624,1047.6471337706007,0.0,1047.6471337706007,1.0,-49828.0,0.003254,0.0,0.00322,close_trailing_long
68,39903,DOGE,0.0,-0.032139156,1047.6149946146006,0.0,1047.6149946146006,1.0,51177.0,0.00314,51177.0,0.00314,entry_initial_normal_long
69,39939,DOGE,-0.1023539999999914,-0.032118685200000004,1047.4805219294005,0.0,1047.4805219294005,1.0,-51177.0,0.003138,0.0,0.00314,close_trailing_long
70,48190,DOGE,0.0,-0.032134128,1047.4483878014005,0.0,1047.4483878014005,1.0,51497.0,0.00312,51497.0,0.00312,entry_initial_normal_long
