,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,137,DOGE,0.0,-0.030089388000000005,999.969910612,0.0,999.969910612,1.0,357.0,0.42142,357.0,0.42142,entry_initial_normal_long
1,168,DOGE,0.8139600000000016,-0.030252180000000007,1000.753618432,0.0,1000.753618432,1.0,-357.0,0.4237,0.0,0.42142,close_trailing_long
2,171,DOGE,0.0,-0.0301248,1000.7234936320001,0.0,1000.7234936320001,1.0,360.0,0.4184,360.0,0.4184,entry_initial_normal_long
3,178,DOGE,-0.035999999999996035,-0.0301176,1000.6573760320001,0.0,1000.6573760320001,1.0,-360.0,0.4183,0.0,0.4184,close_trailing_long
4,179,DOGE,0.0,-0.03006216,1000.6273138720001,0.0,1000.6273138720001,1.0,360.0,0.41753,360.0,0.41753,entry_initial_normal_long
5,183,DOGE,0.0,-0.0560467,1000.571267172,0.0,1000.571267172,1.0,685.0,0.4091,1045.0,0.41200411483253596,entry_trailing_normal_long
6,207,DOGE,-0.5213511004785452,-0.07100764000000001,999.9789084315215,0.0,999.9789084315215,1.0,-863.0,0.4114,182.0,0.41200411483253596,close_trailing_long
7,215,DOGE,1.236851100478456,-0.01524432,1001.200515212,0.0,1001.200515212,1.0,-182.0,0.4188,0.0,0.41200411483253596,close_trailing_long
8,356,DOGE,0.0,-0.030095776,1001.170419436,0.0,1001.170419436,1.0,368.0,0.40891,368.0,0.40891,entry_initial_normal_long
9,362,DOGE,-0.9494399999999894,-0.029905888000000005,1000.191073548,0.0,1000.191073548,1.0,-368.0,0.40633,0.0,0.40891,close_trailing_long
10,363,DOGE,0.0,-0.030108560000000003,1000.1609649879999,0.0,1000.1609649879999,1.0,373.0,0.4036,373.0,0.4036,entry_initial_normal_long
11,381,DOGE,0.484899999999988,-0.03020554,1000.615659448,0.0,1000.615659448,1.0,-373.0,0.4049,0.0,0.4036,close_trailing_long
12,382,DOGE,0.0,-0.03006504,1000.585594408,0.0,1000.585594408,1.0,372.0,0.4041,372.0,0.4041,entry_initial_normal_long
13,387,DOGE,0.0,-0.056103336000000004,1000.529491072,0.0,1000.529491072,1.0,708.0,0.39621,1080.0,0.3989276666666667,entry_trailing_normal_long
14,440,DOGE,2.0246489999999886,-0.07149384,1002.482646232,0.0,1002.482646232,1.0,-891.0,0.4012,189.0,0.3989276666666667,close_trailing_long
15,443,DOGE,0.22157099999999952,-0.01512378,1002.689093452,0.0,1002.689093452,1.0,-189.0,0.4001,0.0,0.3989276666666667,close_trailing_long
16,835,DOGE,0.0,-0.030154488000000004,1002.658938964,0.0,1002.658938964,1.0,364.0,0.41421,364.0,0.41421,entry_initial_normal_long
17,844,DOGE,-0.9500400000000004,-0.029964480000000005,1001.6789344839999,0.0,1001.6789344839999,1.0,-364.0,0.4116,0.0,0.41421,close_trailing_long
18,845,DOGE,0.0,-0.030129120000000002,1001.6488053639999,0.0,1001.6488053639999,1.0,366.0,0.4116,366.0,0.4116,entry_initial_normal_long
19,883,DOGE,1.7201999999999935,-0.030473160000000003,1003.338532204,0.0,1003.338532204,1.0,-366.0,0.4163,0.0,0.4116,close_trailing_long
20,906,DOGE,0.0,-0.03014905,1003.308383154,0.0,1003.308383154,1.0,367.0,0.41075,367.0,0.41075,entry_initial_normal_long
21,912,DOGE,0.2385499999999941,-0.030196760000000003,1003.516736394,0.0,1003.516736394,1.0,-367.0,0.4114,0.0,0.41075,close_trailing_long
22,917,DOGE,0.0,-0.030153184,1003.4865832099999,0.0,1003.4865832099999,1.0,368.0,0.40969,368.0,0.40969,entry_initial_normal_long
23,945,DOGE,1.3652799999999967,-0.030426240000000004,1004.8214369699999,0.0,1004.8214369699999,1.0,-368.0,0.4134,0.0,0.40969,close_trailing_long
24,1236,DOGE,0.0,-0.030191182,1004.791245788,0.0,1004.791245788,1.0,359.0,0.42049,359.0,0.42049,entry_initial_normal_long
25,1268,DOGE,1.1882900000000127,-0.030428840000000006,1005.949106948,0.0,1005.949106948,1.0,-359.0,0.4238,0.0,0.42049,close_trailing_long
26,1436,DOGE,0.0,-0.030259742000000003,1005.918847206,0.0,1005.918847206,1.0,361.0,0.41911,361.0,0.41911,entry_initial_normal_long
27,1440,DOGE,-0.9530399999999912,-0.030069134000000004,1004.935738072,0.0,1004.935738072,1.0,-361.0,0.41647,0.0,0.41911,close_trailing_long
28,1441,DOGE,0.0,-0.030208860000000004,1004.905529212,0.0,1004.905529212,1.0,363.0,0.4161,363.0,0.4161,entry_initial_normal_long
29,1458,DOGE,0.18150000000000016,-0.030245160000000007,1005.056784052,0.0,1005.056784052,1.0,-363.0,0.4166,0.0,0.4161,close_trailing_long
30,1459,DOGE,0.0,-0.030248399999999998,1005.026535652,0.0,1005.026535652,1.0,364.0,0.4155,364.0,0.4155,entry_initial_normal_long
31,1465,DOGE,0.0,-0.056328800000000005,1004.970206852,0.0,1004.970206852,1.0,692.0,0.407,1056.0,0.40992992424242425,entry_trailing_normal_long
32,1472,DOGE,-0.11316401515152247,-0.07138715999999999,1004.7856556768485,0.0,1004.7856556768485,1.0,-871.0,0.4098,185.0,0.40992992424242425,close_trailing_long
33,1473,DOGE,0.0,-0.015035280000000002,1004.7706203968485,0.0,1004.7706203968485,1.0,183.0,0.4108,368.0,0.41036259778491435,entry_initial_partial_long
34,1482,DOGE,0.0,-0.056329,1004.7142913968485,0.0,1004.7142913968485,1.0,700.0,0.40235,1068.0,0.40511089511689935,entry_trailing_normal_long
35,1502,DOGE,3.69060140201167,-0.07211866,1008.3327741388601,0.0,1008.3327741388601,1.0,-881.0,0.4093,187.0,0.40511089511689935,close_trailing_long
36,1510,DOGE,1.0077626131398172,-0.015352699999999999,1009.3251840519999,0.0,1009.3251840519999,1.0,-187.0,0.4105,0.0,0.40511089511689935,close_trailing_long
37,1510,DOGE,0.0,-0.015037952000000002,1009.3101461,0.0,1009.3101461,1.0,184.0,0.40864,184.0,0.40864,entry_initial_partial_long
38,1518,DOGE,0.06623999999999475,-0.0150512,1009.3613349,0.0,1009.3613349,1.0,-184.0,0.409,0.0,0.40864,close_trailing_long
39,1530,DOGE,0.0,-0.030361454000000006,1009.330973446,0.0,1009.330973446,1.0,373.0,0.40699,373.0,0.40699,entry_initial_normal_long
40,1552,DOGE,1.756829999999997,-0.030712820000000002,1011.057090626,0.0,1011.057090626,1.0,-373.0,0.4117,0.0,0.40699,close_trailing_long
41,1620,DOGE,0.0,-0.0303945,1011.0266961259999,0.0,1011.0266961259999,1.0,375.0,0.40526,375.0,0.40526,entry_initial_normal_long
42,1651,DOGE,0.4274999999999904,-0.030480000000000004,1011.4237161259999,0.0,1011.4237161259999,1.0,-375.0,0.4064,0.0,0.40526,close_trailing_long
