,balance,equity,balance_btc,equity_btc
0,1000.256461862,1000.0,0.0,0.0
60,1000.256461862,1000.0,0.0,0.0
120,1000.256461862,1000.0,0.0,0.0
180,1000.832220362,999.6538218620001,0.0,-0.602639999999997
240,1000.832220362,1000.832220362,0.0,0.0
300,1000.8115290100001,1000.832220362,0.0,0.0
360,998.8005702990625,1000.88236901,0.0,0.07084000000000062
420,999.191351144,998.81370526,0.0,0.013134960937499773
480,999.191351144,999.191351144,0.0,0.0
540,999.191351144,999.191351144,0.0,0.0
600,999.191351144,999.191351144,0.0,0.0
660,999.884918144,999.191351144,0.0,0.0
720,999.884918144,999.884918144,0.0,0.0
780,999.756436634,999.884918144,0.0,0.0
840,1000.170734288,999.756436634,0.0,0.0
900,1001.1875590699999,1000.170734288,0.0,0.0
960,1001.1875590699999,1001.1875590699999,0.0,0.0
1020,1001.1875590699999,1001.1875590699999,0.0,0.0
1080,1001.1875590699999,1001.1875590699999,0.0,0.0
1140,1001.1875590699999,1001.1875590699999,0.0,0.0
1200,1001.1668379979999,1001.1875590699999,0.0,0.0
1260,1001.7954270379998,1002.0868779979999,0.0,0.9200400000000052
1320,1001.7954270379998,1001.7954270379998,0.0,0.0
1380,1001.7747230039998,1001.7954270379998,0.0,0.0
1440,1001.0351254439997,1001.1267644459998,0.0,0.0
1500,1005.7652413439998,1004.1773134439998,0.0,3.14218799999998
1560,1005.7652413439998,1005.7652413439998,0.0,0.0
1620,1005.3220860159998,1005.6261909799999,0.0,-0.1182200000000041
1680,1006.0343144159998,1005.5612860159998,0.0,0.23919999999999386
1740,1006.0343144159998,1006.0343144159998,0.0,0.0
1800,1006.0343144159998,1006.0343144159998,0.0,0.0
1860,1007.1586910140605,1006.0343144159998,0.0,0.0
1920,1017.3806871879999,1006.168802908,0.0,-0.9898881060605944
1980,1017.3806871879999,1017.3806871879999,0.0,0.0
2040,1017.3806871879999,1017.3806871879999,0.0,0.0
2100,1017.3806871879999,1017.3806871879999,0.0,0.0
2160,1017.35962933,1017.3806871879999,0.0,0.0
2220,1018.4982112099999,1019.02473933,0.0,1.6651100000000079
2280,1017.4623786020001,1018.8978112099999,0.0,0.39960000000000995
2340,1017.5300762780001,1017.3228786020001,0.0,-0.13950000000000012
2400,1017.5300762780001,1017.5300762780001,0.0,0.0
2460,1017.5300762780001,1017.5300762780001,0.0,0.0
2520,1016.4505057900001,1017.5300762780001,0.0,0.0
2580,1016.8949344060001,1016.6268911500001,0.0,0.19740000000000957
2640,1015.9704879449962,1017.1107264460001,0.0,0.0
2700,1022.9213429200001,1021.0360815520002,0.0,5.065593607003948
2760,1023.3858844580001,1022.9213429200001,0.0,0.0
2820,1023.3858844580001,1023.3858844580001,0.0,0.0
2880,1023.364690266,1023.3858844580001,0.0,0.0
2940,1024.913320668,1023.450530266,0.0,0.08584000000000369
3000,1024.913320668,1024.913320668,0.0,0.0
3060,1024.913320668,1024.913320668,0.0,0.0
3120,1024.913320668,1024.913320668,0.0,0.0
3180,1024.913320668,1024.913320668,0.0,0.0
3240,1024.913320668,1024.913320668,0.0,0.0
3300,1024.913320668,1024.913320668,0.0,0.0
3360,1024.913320668,1024.913320668,0.0,0.0
3420,1024.913320668,1024.913320668,0.0,0.0
3480,1024.913320668,1024.913320668,0.0,0.0
3540,1024.913320668,1024.913320668,0.0,0.0
3600,1024.89211978,1024.913320668,0.0,0.0
3660,1027.61828554,1025.92057978,0.0,1.028459999999999
3720,1027.61828554,1027.61828554,0.0,0.0
3780,1027.61828554,1027.61828554,0.0,0.0
3840,1027.61828554,1027.61828554,0.0,0.0
3900,1027.61828554,1027.61828554,0.0,0.0
3960,1027.61828554,1027.61828554,0.0,0.0
4020,1027.61828554,1027.61828554,0.0,0.0
4080,1027.61828554,1027.61828554,0.0,0.0
4140,1027.61828554,1027.61828554,0.0,0.0
4200,1027.61828554,1027.61828554,0.0,0.0
4260,1026.1270593680001,1027.61828554,0.0,0.0
4320,1024.804733918,1026.076119368,0.0,-0.050940000000003816
4380,1024.7028144380001,1024.862133918,0.0,0.05740000000000961
4440,1024.7028144380001,1024.7028144380001,0.0,0.0
4500,1024.7028144380001,1024.7028144380001,0.0,0.0
4560,1024.7028144380001,1024.7028144380001,0.0,0.0
4620,1024.7028144380001,1024.7028144380001,0.0,0.0
4680,1024.7028144380001,1024.7028144380001,0.0,0.0
4740,1024.7028144380001,1024.7028144380001,0.0,0.0
4800,1024.7028144380001,1024.7028144380001,0.0,0.0
4860,1024.7028144380001,1024.7028144380001,0.0,0.0
4920,1024.214525818,1024.7028144380001,0.0,0.0
4980,1024.1558067980002,1023.0787558180001,0.0,-1.1357700000000128
5040,1024.1558067980002,1024.1558067980002,0.0,0.0
5100,1024.1558067980002,1024.1558067980002,0.0,0.0
5160,1024.1558067980002,1024.1558067980002,0.0,0.0
5220,1024.1558067980002,1024.1558067980002,0.0,0.0
5280,1024.1558067980002,1024.1558067980002,0.0,0.0
5340,1024.1558067980002,1024.1558067980002,0.0,0.0
5400,1024.1558067980002,1024.1558067980002,0.0,0.0
5460,1024.1558067980002,1024.1558067980002,0.0,0.0
5520,1024.1558067980002,1024.1558067980002,0.0,0.0
5580,1024.1558067980002,1024.1558067980002,0.0,0.0
5640,1024.1558067980002,1024.1558067980002,0.0,0.0
5700,1024.1558067980002,1024.1558067980002,0.0,0.0
5760,1024.1558067980002,1024.1558067980002,0.0,0.0
5820,1024.1558067980002,1024.1558067980002,0.0,0.0
5880,1024.1558067980002,1024.1558067980002,0.0,0.0
5940,1024.1558067980002,1024.1558067980002,0.0,0.0
6000,1024.1558067980002,1024.1558067980002,0.0,0.0
6060,1024.1558067980002,1024.1558067980002,0.0,0.0
6120,1024.1558067980002,1024.1558067980002,0.0,0.0
6180,1024.1558067980002,1024.1558067980002,0.0,0.0
6240,1024.1558067980002,1024.1558067980002,0.0,0.0
6300,1024.1558067980002,1024.1558067980002,0.0,0.0
6360,1024.1558067980002,1024.1558067980002,0.0,0.0
6420,1024.1558067980002,1024.1558067980002,0.0,0.0
6480,1024.1558067980002,1024.1558067980002,0.0,0.0
6540,1024.1558067980002,1024.1558067980002,0.0,0.0
6600,1024.1558067980002,1024.1558067980002,0.0,0.0
6660,1024.1558067980002,1024.1558067980002,0.0,0.0
6720,1024.1558067980002,1024.1558067980002,0.0,0.0
6780,1024.1558067980002,1024.1558067980002,0.0,0.0
6840,1024.1558067980002,1024.1558067980002,0.0,0.0
6900,1024.1558067980002,1024.1558067980002,0.0,0.0
6960,1024.1558067980002,1024.1558067980002,0.0,0.0
7020,1024.1558067980002,1024.1558067980002,0.0,0.0
7080,1024.1558067980002,1024.1558067980002,0.0,0.0
7140,1024.1558067980002,1024.1558067980002,0.0,0.0
7200,1024.1558067980002,1024.1558067980002,0.0,0.0
7260,1024.1558067980002,1024.1558067980002,0.0,0.0
7320,1024.1558067980002,1024.1558067980002,0.0,0.0
7380,1023.6042250280002,1024.1558067980002,0.0,0.0
7440,1023.6042250280002,1023.6042250280002,0.0,0.0
7500,1023.2984990600002,1023.6042250280002,0.0,0.0
7560,1023.2773458280002,1023.2984990600002,0.0,0.0
7620,1024.2930251880002,1024.0759858280003,0.0,0.7986399999999881
7680,1024.2930251880002,1024.2930251880002,0.0,0.0
7740,1024.2930251880002,1024.2930251880002,0.0,0.0
7800,1024.377683030029,1024.2930251880002,0.0,0.0
7860,1029.8890588119998,1025.4922777559998,0.0,1.1145947259709126
7920,1030.5455018439998,1030.5937388119999,0.0,0.7046799999999855
7980,1029.4861499739998,1030.2319018439998,0.0,-0.3135999999999939
8040,1031.0795412739997,1029.6799499739998,0.0,0.19379999999999659
8100,1031.0795412739997,1031.0795412739997,0.0,0.0
8160,1029.4796105742046,1031.0795412739997,0.0,0.0
8220,1034.6576100739999,1034.1566931739999,0.0,4.677082599795322
8280,1034.636180666,1034.6576100739999,0.0,0.0
8340,1035.592315706,1035.143540666,0.0,0.5073600000000038
8400,1035.592315706,1035.592315706,0.0,0.0
8460,1035.592315706,1035.592315706,0.0,0.0
8520,1035.592315706,1035.592315706,0.0,0.0
8580,1035.592315706,1035.592315706,0.0,0.0
8640,1035.592315706,1035.592315706,0.0,0.0
8700,1035.592315706,1035.592315706,0.0,0.0
8760,1035.456233258,1035.592315706,0.0,0.0
8820,1035.4084167598437,1035.456233258,0.0,0.0
8880,1038.2747351511402,1034.1657902980003,0.0,-1.2426264618434213
8940,1110.1922243820002,1088.8927094420003,0.0,50.617974290859955
9000,1110.1922243820002,1110.1922243820002,0.0,0.0
9060,1110.1922243820002,1110.1922243820002,0.0,0.0
9120,1110.1922243820002,1110.1922243820002,0.0,0.0
9180,1110.1922243820002,1110.1922243820002,0.0,0.0
9240,1110.1922243820002,1110.1922243820002,0.0,0.0
9300,1110.1922243820002,1110.1922243820002,0.0,0.0
9360,1110.1922243820002,1110.1922243820002,0.0,0.0
9420,1110.1692885420002,1110.1922243820002,0.0,0.0
9480,1110.1692885420002,1109.0545885420001,0.0,-1.1146999999999916
9540,1110.1241066220002,1107.8120885420003,0.0,-2.3571999999999926
9600,1112.4202159220004,1108.6221066220003,0.0,-1.5020000000000049
9660,1112.4202159220004,1112.4202159220004,0.0,0.0
9720,1112.4202159220004,1112.4202159220004,0.0,0.0
9780,1112.4202159220004,1112.4202159220004,0.0,0.0
9840,1112.4202159220004,1112.4202159220004,0.0,0.0
9900,1112.4202159220004,1112.4202159220004,0.0,0.0
9960,1112.4202159220004,1112.4202159220004,0.0,0.0
10020,1112.4202159220004,1112.4202159220004,0.0,0.0
10080,1112.4202159220004,1112.4202159220004,0.0,0.0
10140,1112.4202159220004,1112.4202159220004,0.0,0.0
10200,1112.4202159220004,1112.4202159220004,0.0,0.0
10260,1112.4202159220004,1112.4202159220004,0.0,0.0
10320,1112.4708850940003,1112.4202159220004,0.0,0.0
10380,1112.4708850940003,1112.4708850940003,0.0,0.0
10440,1112.4708850940003,1112.4708850940003,0.0,0.0
10500,1112.4478811840004,1112.4708850940003,0.0,0.0
10560,1112.8881780800002,1113.1758311840003,0.0,0.7279500000000003
10620,1113.6422507200002,1114.6717580800002,0.0,1.7835799999999924
10680,1113.6422507200002,1113.6422507200002,0.0,0.0
10740,1113.6422507200002,1113.6422507200002,0.0,0.0
10800,1113.6422507200002,1113.6422507200002,0.0,0.0
10860,1113.6422507200002,1113.6422507200002,0.0,0.0
10920,1113.6422507200002,1113.6422507200002,0.0,0.0
10980,1113.6422507200002,1113.6422507200002,0.0,0.0
11040,1113.6422507200002,1113.6422507200002,0.0,0.0
11100,1113.6422507200002,1113.6422507200002,0.0,0.0
11160,1113.6422507200002,1113.6422507200002,0.0,0.0
11220,1113.6422507200002,1113.6422507200002,0.0,0.0
11280,1113.6422507200002,1113.6422507200002,0.0,0.0
11340,1113.6422507200002,1113.6422507200002,0.0,0.0
11400,1113.6422507200002,1113.6422507200002,0.0,0.0
11460,1113.6422507200002,1113.6422507200002,0.0,0.0
11520,1113.6422507200002,1113.6422507200002,0.0,0.0
11580,1113.6422507200002,1113.6422507200002,0.0,0.0
11640,1113.6422507200002,1113.6422507200002,0.0,0.0
11700,1113.6422507200002,1113.6422507200002,0.0,0.0
11760,1113.6422507200002,1113.6422507200002,0.0,0.0
11820,1113.6422507200002,1113.6422507200002,0.0,0.0
11880,1113.6192303360003,1113.6422507200002,0.0,0.0
11940,1114.2297632160003,1114.2529103360002,0.0,0.6336800000000014
12000,1114.2297632160003,1114.2297632160003,0.0,0.0
12060,1114.2297632160003,1114.2297632160003,0.0,0.0
12120,1114.2297632160003,1114.2297632160003,0.0,0.0
12180,1114.2297632160003,1114.2297632160003,0.0,0.0
12240,1114.2297632160003,1114.2297632160003,0.0,0.0
12300,1114.2297632160003,1114.2297632160003,0.0,0.0
12360,1114.2956175580002,1114.2297632160003,0.0,0.0
12420,1114.2956175580002,1114.2956175580002,0.0,0.0
12480,1114.2956175580002,1114.2956175580002,0.0,0.0
12540,1114.2956175580002,1114.2956175580002,0.0,0.0
12600,1114.2956175580002,1114.2956175580002,0.0,0.0
12660,1114.2956175580002,1114.2956175580002,0.0,0.0
12720,1114.2956175580002,1114.2956175580002,0.0,0.0
12780,1114.2956175580002,1114.2956175580002,0.0,0.0
12840,1114.2956175580002,1114.2956175580002,0.0,0.0
12900,1114.2956175580002,1114.2956175580002,0.0,0.0
12960,1114.2956175580002,1114.2956175580002,0.0,0.0
13020,1114.2956175580002,1114.2956175580002,0.0,0.0
13080,1114.2956175580002,1114.2956175580002,0.0,0.0
13140,1114.2956175580002,1114.2956175580002,0.0,0.0
13200,1113.6745476540002,1114.2956175580002,0.0,0.0
