,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,1421,ETH,0.0,-0.010198240000000003,999.98980176,0.0,999.98980176,1.0,0.13,392.24,0.13,392.24,entry_initial_normal_long
1,1517,ETH,0.0,-0.0236466,999.96615516,0.0,999.96615516,1.0,0.29,407.7,0.42,402.9147619047619,entry_trailing_normal_long
2,1547,ETH,3.647800000000004,-0.034574400000000005,1003.5793807599999,0.0,1003.5793807599999,1.0,-0.42,411.6,0.0,402.9147619047619,close_trailing_long
3,2331,ETH,0.0,-0.010704720000000001,1003.5686760399999,0.0,1003.5686760399999,1.0,0.13,411.72,0.13,411.72,entry_initial_normal_long
4,2613,ETH,0.1208999999999935,-0.010728900000000001,1003.6788471399999,0.0,1003.6788471399999,1.0,-0.13,412.65,0.0,411.72,close_trailing_long
5,3217,ETH,0.0,-0.01074164,1003.6681054999999,0.0,1003.6681054999999,1.0,0.13,413.14,0.13,413.14,entry_initial_normal_long
6,3268,ETH,-0.06370000000000119,-0.010728900000000001,1003.5936765999999,0.0,1003.5936765999999,1.0,-0.13,412.65,0.0,413.14,close_trailing_long
7,3269,ETH,0.0,-0.010722400000000002,1003.5829541999999,0.0,1003.5829541999999,1.0,0.13,412.4,0.13,412.4,entry_initial_normal_long
8,4623,ETH,-0.1364999999999941,-0.0106951,1003.4357590999999,0.0,1003.4357590999999,1.0,-0.13,411.35,0.0,412.4,close_trailing_long
9,5005,ETH,0.0,-0.01067274,1003.4250863599999,0.0,1003.4250863599999,1.0,0.13,410.49,0.13,410.49,entry_initial_normal_long
10,5071,ETH,-0.1546999999999997,-0.010641800000000002,1003.25974456,0.0,1003.25974456,1.0,-0.13,409.3,0.0,410.49,close_trailing_long
11,5072,ETH,0.0,-0.0106548,1003.24908976,0.0,1003.24908976,1.0,0.13,409.8,0.13,409.8,entry_initial_normal_long
12,5535,ETH,0.5654999999999956,-0.0107679,1003.80382186,0.0,1003.80382186,1.0,-0.13,414.15,0.0,409.8,close_trailing_long
13,5542,ETH,0.0,-0.01068314,1003.79313872,0.0,1003.79313872,1.0,0.13,410.89,0.13,410.89,entry_initial_normal_long
14,8739,ETH,0.0,-0.0230492,1003.77008952,0.0,1003.77008952,1.0,0.29,397.4,0.42,401.5754761904762,entry_trailing_normal_long
15,8891,ETH,1.1862999999999886,-0.033969599999999996,1004.92241992,0.0,1004.92241992,1.0,-0.42,404.4,0.0,401.5754761904762,close_trailing_long
16,9933,ETH,0.0,-0.0104702,1004.91194972,0.0,1004.91194972,1.0,0.13,402.7,0.13,402.7,entry_initial_normal_long
17,13965,ETH,0.0,-0.022477900000000002,1004.88947182,0.0,1004.88947182,1.0,0.29,387.55,0.42,392.2392857142857,entry_trailing_normal_long
18,16523,ETH,0.6765000000000156,-0.0330834,1005.5328884200001,0.0,1005.5328884200001,1.0,-0.42,393.85,0.0,392.2392857142857,close_trailing_long
19,16523,ETH,0.0,-0.0732561,1005.4596323200001,0.0,1005.4596323200001,1.0,0.93,393.85,0.93,393.85,entry_trailing_normal_long
20,16646,ETH,-0.1860000000000423,-0.0732189,1005.20041342,0.0,1005.20041342,1.0,-0.93,393.65,0.0,393.85,close_trailing_long
21,17222,ETH,0.0,-0.01027988,1005.19013354,0.0,1005.19013354,1.0,0.13,395.38,0.13,395.38,entry_initial_normal_long
22,18968,ETH,0.0,-0.0222546,1005.16787894,0.0,1005.16787894,1.0,0.29,383.7,0.42,387.3152380952381,entry_trailing_normal_long
23,19585,ETH,0.22460000000000718,-0.0325794,1005.35989954,0.0,1005.35989954,1.0,-0.42,387.85,0.0,387.3152380952381,close_trailing_long
24,19666,ETH,0.0,-0.010683960000000001,1005.34921558,0.0,1005.34921558,1.0,0.14,381.57,0.14,381.57,entry_initial_normal_long
