,balance,equity,balance_btc,equity_btc
0,999.98980098,1000.0,0.0,0.0
60,999.98980098,1000.0,0.0,0.0
120,999.98980098,1000.0,0.0,0.0
180,999.98980098,1000.0,0.0,0.0
240,999.98980098,1000.0,0.0,0.0
300,999.98980098,1000.0,0.0,0.0
360,999.98980098,1000.0,0.0,0.0
420,999.98980098,1000.0,0.0,0.0
480,999.98980098,1000.0,0.0,0.0
540,999.98980098,1000.0,0.0,0.0
600,999.98980098,1000.0,0.0,0.0
660,999.98980098,1000.0,0.0,0.0
720,999.98980098,1000.0,0.0,0.0
780,999.98980098,1000.0,0.0,0.0
840,999.98980098,1000.0,0.0,0.0
900,999.98980098,1000.0,0.0,0.0
960,999.98980098,1000.0,0.0,0.0
1020,999.98980098,1000.0,0.0,0.0
1080,999.98980098,1000.0,0.0,0.0
1140,999.98980098,1000.0,0.0,0.0
1200,999.98980098,1000.0,0.0,0.0
1260,999.98980098,1000.0,0.0,0.0
1320,999.98980098,1000.0,0.0,0.0
1380,999.98980098,1000.0,0.0,0.0
1440,999.98980098,1000.7737009800001,0.0,0.7839000000000038
1500,1003.5754799800001,1001.09870098,0.0,1.1089000000000038
1560,1003.5754799800001,1003.5754799800001,0.0,0.0
1620,1003.5754799800001,1003.5754799800001,0.0,0.0
1680,1003.5754799800001,1003.5754799800001,0.0,0.0
1740,1003.5754799800001,1003.5754799800001,0.0,0.0
1800,1003.5754799800001,1003.5754799800001,0.0,0.0
1860,1003.5754799800001,1003.5754799800001,0.0,0.0
1920,1003.5754799800001,1003.5754799800001,0.0,0.0
1980,1003.5754799800001,1003.5754799800001,0.0,0.0
2040,1003.5754799800001,1003.5754799800001,0.0,0.0
2100,1003.5754799800001,1003.5754799800001,0.0,0.0
2160,1003.5754799800001,1003.5754799800001,0.0,0.0
2220,1003.5754799800001,1003.5754799800001,0.0,0.0
2280,1003.5647734400001,1003.5754799800001,0.0,0.0
2340,1003.5647734400001,1003.65057344,0.0,0.08579999999999587
2400,1003.5647734400001,1003.8650734400001,0.0,0.3003000000000003
2460,1003.5647734400001,1003.76107344,0.0,0.19629999999999884
2520,1003.5647734400001,1003.87157344,0.0,0.3067999999999944
2580,1003.6658445400001,1003.8000734400001,0.0,0.23530000000000031
2640,1003.6658445400001,1003.6658445400001,0.0,0.0
2700,1003.6658445400001,1003.6658445400001,0.0,0.0
2760,1003.6658445400001,1003.6658445400001,0.0,0.0
2820,1003.6658445400001,1003.6658445400001,0.0,0.0
2880,1003.6658445400001,1003.6658445400001,0.0,0.0
2940,1003.6658445400001,1003.6658445400001,0.0,0.0
3000,1003.6658445400001,1003.6658445400001,0.0,0.0
3060,1003.6658445400001,1003.6658445400001,0.0,0.0
3120,1003.6658445400001,1003.6658445400001,0.0,0.0
3180,1003.6551023800001,1003.6658445400001,0.0,0.0
3240,1003.5673510800002,1003.8553023800001,0.0,0.20019999999999527
3300,1003.5673510800002,1002.8848510800002,0.0,-0.6825
3360,1003.5673510800002,1002.8848510800002,0.0,-0.6825
3420,1003.5673510800002,1002.8003510800002,0.0,-0.766999999999997
3480,1003.5673510800002,1002.9498510800003,0.0,-0.6175
3540,1003.5673510800002,1003.0473510800002,0.0,-0.52
3600,1003.5673510800002,1002.9693510800003,0.0,-0.5979999999999955
3660,1003.5673510800002,1003.0863510800002,0.0,-0.48099999999999854
3720,1003.5673510800002,1003.1968510800002,0.0,-0.37049999999999556
3780,1003.5673510800002,1002.9823510800002,0.0,-0.585
3840,1003.5673510800002,1003.2293510800002,0.0,-0.3379999999999956
3900,1003.5673510800002,1003.6388510800002,0.0,0.07150000000000148
3960,1003.5673510800002,1003.5478510800002,0.0,-0.019499999999997044
4020,1003.5673510800002,1003.6648510800002,0.0,0.0975
4080,1003.5673510800002,1003.5153510800002,0.0,-0.05199999999999705
4140,1003.5673510800002,1003.4958510800002,0.0,-0.0714999999999941
4200,1003.5673510800002,1003.5283510800002,0.0,-0.03899999999999409
4260,1003.5673510800002,1003.1578510800002,0.0,-0.40949999999999703
4320,1003.5673510800002,1003.2228510800002,0.0,-0.34449999999999703
4380,1003.5673510800002,1003.5348510800002,0.0,-0.0325
4440,1003.5673510800002,1003.6258510800002,0.0,0.058500000000005915
4500,1003.5673510800002,1003.6518510800003,0.0,0.08450000000000443
4560,1003.5673510800002,1003.6258510800002,0.0,0.058500000000005915
4620,1003.4201559800002,1003.9508510800002,0.0,0.38350000000000595
4680,1003.4201559800002,1003.4201559800002,0.0,0.0
4740,1003.4201559800002,1003.4201559800002,0.0,0.0
4800,1003.4201559800002,1003.4201559800002,0.0,0.0
4860,1003.4201559800002,1003.4201559800002,0.0,0.0
4920,1003.4201559800002,1003.4201559800002,0.0,0.0
4980,1003.4094832400002,1003.4201559800002,0.0,0.0
5040,1003.2321869000002,1003.6707832400002,0.0,0.2612999999999988
5100,1003.2321869000002,1003.3296869000002,0.0,0.0975
5160,1003.2321869000002,1003.4661869000003,0.0,0.23400000000000148
5220,1003.2321869000002,1003.5376869000003,0.0,0.30549999999999555
5280,1003.2321869000002,1003.5701869000002,0.0,0.3379999999999956
5340,1003.2321869000002,1003.6676869000003,0.0,0.43549999999999556
5400,1003.2321869000002,1003.5311869000002,0.0,0.2990000000000015
