,balance,equity,balance_btc,equity_btc
0,1000.2407784,1000.0,0.0,0.0
60,1000.2407784,1000.0,0.0,0.0
120,1000.2407784,1000.0,0.0,0.0
180,1000.2407784,1000.0,0.0,0.0
240,1000.2407784,1000.0,0.0,0.0
300,1000.2407784,1000.0,0.0,0.0
360,1000.2407784,1000.0,0.0,0.0
420,1000.2407784,1000.0,0.0,0.0
480,1000.2407784,1000.0,0.0,0.0
540,1000.2407784,1000.0,0.0,0.0
600,1000.2407784,1000.0,0.0,0.0
660,1000.2407784,1000.0,0.0,0.0
720,1000.2407784,1000.0,0.0,0.0
780,1000.2407784,1000.0,0.0,0.0
840,1000.2407784,1000.2407784,0.0,0.0
900,1000.2407784,1000.2407784,0.0,0.0
960,1000.2407784,1000.2407784,0.0,0.0
1020,1000.2407784,1000.2407784,0.0,0.0
1080,1000.2407784,1000.2407784,0.0,0.0
1140,1000.2407784,1000.2407784,0.0,0.0
1200,1000.2407784,1000.2407784,0.0,0.0
1260,1000.2407784,1000.2407784,0.0,0.0
1320,1000.2407784,1000.2407784,0.0,0.0
1380,1000.2407784,1000.2407784,0.0,0.0
1440,1000.2407784,1000.2407784,0.0,0.0
1500,1000.2407784,1000.2407784,0.0,0.0
1560,1000.2407784,1000.2407784,0.0,0.0
1620,1000.2407784,1000.2407784,0.0,0.0
1680,1000.2407784,1000.2407784,0.0,0.0
1740,1000.2407784,1000.2407784,0.0,0.0
1800,1000.2407784,1000.2407784,0.0,0.0
1860,1000.2407784,1000.2407784,0.0,0.0
1920,1000.2407784,1000.2407784,0.0,0.0
1980,1000.2407784,1000.2407784,0.0,0.0
2040,1000.2407784,1000.2407784,0.0,0.0
2100,1000.2407784,1000.2407784,0.0,0.0
2160,1000.2407784,1000.2407784,0.0,0.0
2220,1000.2407784,1000.2407784,0.0,0.0
2280,1000.2407784,1000.2407784,0.0,0.0
2340,1000.2407784,1000.2407784,0.0,0.0
2400,1000.2407784,1000.2407784,0.0,0.0
2460,1000.2407784,1000.2407784,0.0,0.0
2520,1000.2407784,1000.2407784,0.0,0.0
2580,1000.2407784,1000.2407784,0.0,0.0
2640,1000.2407784,1000.2407784,0.0,0.0
2700,1000.2407784,1000.2407784,0.0,0.0
2760,1000.2407784,1000.2407784,0.0,0.0
2820,1000.2407784,1000.2407784,0.0,0.0
2880,1000.2407784,1000.2407784,0.0,0.0
2940,1000.2407784,1000.2407784,0.0,0.0
3000,1000.2407784,1000.2407784,0.0,0.0
3060,1000.2407784,1000.2407784,0.0,0.0
3120,1000.2407784,1000.2407784,0.0,0.0
3180,1000.2407784,1000.2407784,0.0,0.0
3240,1000.1679160599999,1000.2407784,0.0,0.0
3300,1000.6689319999999,1000.6049160599999,0.0,0.43699999999999134
3360,1000.6689319999999,1000.6689319999999,0.0,0.0
3420,1000.6689319999999,1000.6689319999999,0.0,0.0
3480,1000.6689319999999,1000.6689319999999,0.0,0.0
3540,1000.6689319999999,1000.6689319999999,0.0,0.0
3600,1000.6689319999999,1000.6689319999999,0.0,0.0
3660,1000.6689319999999,1000.6689319999999,0.0,0.0
3720,1000.6689319999999,1000.6689319999999,0.0,0.0
3780,1000.6689319999999,1000.6689319999999,0.0,0.0
3840,1000.6689319999999,1000.6689319999999,0.0,0.0
3900,1000.6689319999999,1000.6689319999999,0.0,0.0
3960,1000.6689319999999,1000.6689319999999,0.0,0.0
4020,1000.6689319999999,1000.6689319999999,0.0,0.0
4080,1000.6689319999999,1000.6689319999999,0.0,0.0
4140,1000.6689319999999,1000.6689319999999,0.0,0.0
4200,1000.6689319999999,1000.6689319999999,0.0,0.0
4260,1000.6689319999999,1000.6689319999999,0.0,0.0
4320,1000.6689319999999,1000.6689319999999,0.0,0.0
4380,1000.6689319999999,1000.6689319999999,0.0,0.0
4440,1000.6689319999999,1000.6689319999999,0.0,0.0
4500,1000.6689319999999,1000.6689319999999,0.0,0.0
4560,1000.6689319999999,1000.6689319999999,0.0,0.0
4620,1000.6689319999999,1000.6689319999999,0.0,0.0
4680,1000.6689319999999,1000.6689319999999,0.0,0.0
4740,1000.6689319999999,1000.6689319999999,0.0,0.0
4800,1000.6689319999999,1000.6689319999999,0.0,0.0
4860,1000.6689319999999,1000.6689319999999,0.0,0.0
4920,1000.6689319999999,1000.6689319999999,0.0,0.0
4980,1000.6689319999999,1000.6689319999999,0.0,0.0
5040,1000.6689319999999,1000.6689319999999,0.0,0.0
5100,1000.6689319999999,1000.6689319999999,0.0,0.0
5160,1000.6689319999999,1000.6689319999999,0.0,0.0
5220,1000.6689319999999,1000.6689319999999,0.0,0.0
5280,1000.6689319999999,1000.6689319999999,0.0,0.0
5340,1000.6689319999999,1000.6689319999999,0.0,0.0
5400,1000.6689319999999,1000.6689319999999,0.0,0.0
5460,1000.6689319999999,1000.6689319999999,0.0,0.0
5520,1000.65343788,1000.6689319999999,0.0,0.0
5580,1000.65343788,1000.70283788,0.0,0.04939999999999827
5640,1000.65343788,1000.81683788,0.0,0.1634000000000026
5700,1000.7158281799999,1000.77883788,0.0,0.12539999999999396
5760,1000.7158281799999,1000.7158281799999,0.0,0.0
5820,1000.7158281799999,1000.7158281799999,0.0,0.0
5880,1000.7158281799999,1000.7158281799999,0.0,0.0
5940,1000.7158281799999,1000.7158281799999,0.0,0.0
6000,1000.7158281799999,1000.7158281799999,0.0,0.0
6060,1000.7158281799999,1000.7158281799999,0.0,0.0
6120,1000.7158281799999,1000.7158281799999,0.0,0.0
6180,1000.7158281799999,1000.7158281799999,0.0,0.0
6240,1000.7158281799999,1000.7158281799999,0.0,0.0
6300,1000.7158281799999,1000.7158281799999,0.0,0.0
6360,1000.7158281799999,1000.7158281799999,0.0,0.0
6420,1000.7158281799999,1000.7158281799999,0.0,0.0
6480,1000.7158281799999,1000.7158281799999,0.0,0.0
6540,1000.7158281799999,1000.7158281799999,0.0,0.0
6600,1000.7158281799999,1000.7158281799999,0.0,0.0
6660,1000.7158281799999,1000.7158281799999,0.0,0.0
6720,1000.7158281799999,1000.7158281799999,0.0,0.0
6780,1000.7158281799999,1000.7158281799999,0.0,0.0
6840,1000.7158281799999,1000.7158281799999,0.0,0.0
6900,1000.7158281799999,1000.7158281799999,0.0,0.0
6960,1000.7158281799999,1000.7158281799999,0.0,0.0
7020,1000.7158281799999,1000.7158281799999,0.0,0.0
7080,1000.7158281799999,1000.7158281799999,0.0,0.0
7140,1000.7158281799999,1000.7158281799999,0.0,0.0
7200,1000.7158281799999,1000.7158281799999,0.0,0.0
7260,1000.7158281799999,1000.7158281799999,0.0,0.0
7320,1000.7158281799999,1000.7158281799999,0.0,0.0
7380,1000.7158281799999,1000.7158281799999,0.0,0.0
7440,1000.7158281799999,1000.7158281799999,0.0,0.0
7500,1000.7158281799999,1000.7158281799999,0.0,0.0
7560,1000.72419122,1000.7158281799999,0.0,0.0
7620,1000.7085796199999,1000.72419122,0.0,0.0
7680,1000.8056820199998,1000.10057962,0.0,-0.6080000000000041
7740,1000.8056820199998,1000.8056820199998,0.0,0.0
7800,1000.8056820199998,1000.8056820199998,0.0,0.0
7860,1000.8056820199998,1000.8056820199998,0.0,0.0
7920,1000.8056820199998,1000.8056820199998,0.0,0.0
7980,1000.8056820199998,1000.8056820199998,0.0,0.0
8040,1000.8056820199998,1000.8056820199998,0.0,0.0
8100,1000.8056820199998,1000.8056820199998,0.0,0.0
8160,1000.8056820199998,1000.8056820199998,0.0,0.0
8220,1000.8056820199998,1000.8056820199998,0.0,0.0
8280,1000.8056820199998,1000.8056820199998,0.0,0.0
8340,1000.8056820199998,1000.8056820199998,0.0,0.0
8400,1000.8056820199998,1000.8056820199998,0.0,0.0
8460,1000.8056820199998,1000.8056820199998,0.0,0.0
8520,1000.8056820199998,1000.8056820199998,0.0,0.0
8580,1000.8056820199998,1000.8056820199998,0.0,0.0
8640,1000.8056820199998,1000.8056820199998,0.0,0.0
8700,1000.8056820199998,1000.8056820199998,0.0,0.0
8760,1000.8056820199998,1000.8056820199998,0.0,0.0
8820,1000.8056820199998,1000.8056820199998,0.0,0.0
8880,1000.8056820199998,1000.8056820199998,0.0,0.0
8940,1000.8056820199998,1000.8056820199998,0.0,0.0
9000,1000.8056820199998,1000.8056820199998,0.0,0.0
9060,1000.8056820199998,1000.8056820199998,0.0,0.0
9120,1000.8056820199998,1000.8056820199998,0.0,0.0
9180,1000.8056820199998,1000.8056820199998,0.0,0.0
9240,1000.8056820199998,1000.8056820199998,0.0,0.0
9300,1000.8056820199998,1000.8056820199998,0.0,0.0
9360,1000.8056820199998,1000.8056820199998,0.0,0.0
9420,1000.8056820199998,1000.8056820199998,0.0,0.0
9480,1000.8056820199998,1000.8056820199998,0.0,0.0
9540,1000.8056820199998,1000.8056820199998,0.0,0.0
9600,1000.8056820199998,1000.8056820199998,0.0,0.0
9660,1000.8056820199998,1000.8056820199998,0.0,0.0
9720,1000.8056820199998,1000.8056820199998,0.0,0.0
9780,1000.8056820199998,1000.8056820199998,0.0,0.0
9840,1000.8056820199998,1000.8056820199998,0.0,0.0
9900,1000.8837898799999,1000.8056820199998,0.0,0.0
9960,1000.7915855399999,1000.8440426399999,0.0,-0.024699999999999136
10020,1000.7915855399999,1000.7915855399999,0.0,0.0
10080,1000.7915855399999,1000.7915855399999,0.0,0.0
10140,1000.7915855399999,1000.7915855399999,0.0,0.0
10200,1000.7915855399999,1000.7915855399999,0.0,0.0
10260,1000.7915855399999,1000.7915855399999,0.0,0.0
10320,1000.7350755399999,1000.7915855399999,0.0,0.0
10380,1000.7350755399999,1000.7350755399999,0.0,0.0
10440,1000.7350755399999,1000.7350755399999,0.0,0.0
10500,1000.7350755399999,1000.7350755399999,0.0,0.0
10560,1000.7350755399999,1000.7350755399999,0.0,0.0
10620,1000.7350755399999,1000.7350755399999,0.0,0.0
10680,1000.7350755399999,1000.7350755399999,0.0,0.0
10740,1000.7350755399999,1000.7350755399999,0.0,0.0
10800,1000.7350755399999,1000.7350755399999,0.0,0.0
10860,1000.7350755399999,1000.7350755399999,0.0,0.0
10920,1000.7350755399999,1000.7350755399999,0.0,0.0
10980,1000.7350755399999,1000.7350755399999,0.0,0.0
11040,1000.7350755399999,1000.7350755399999,0.0,0.0
11100,1000.7350755399999,1000.7350755399999,0.0,0.0
11160,1000.7350755399999,1000.7350755399999,0.0,0.0
11220,1000.7350755399999,1000.7350755399999,0.0,0.0
11280,1000.7350755399999,1000.7350755399999,0.0,0.0
11340,1000.7350755399999,1000.7350755399999,0.0,0.0
11400,1000.7350755399999,1000.7350755399999,0.0,0.0
11460,1000.7350755399999,1000.7350755399999,0.0,0.0
11520,1000.7350755399999,1000.7350755399999,0.0,0.0
11580,1000.7350755399999,1000.7350755399999,0.0,0.0
11640,1000.7350755399999,1000.7350755399999,0.0,0.0
11700,1000.7350755399999,1000.7350755399999,0.0,0.0
11760,1000.7350755399999,1000.7350755399999,0.0,0.0
11820,1000.7350755399999,1000.7350755399999,0.0,0.0
11880,1000.7350755399999,1000.7350755399999,0.0,0.0
11940,1000.7350755399999,1000.7350755399999,0.0,0.0
12000,1000.7350755399999,1000.7350755399999,0.0,0.0
12060,1000.7350755399999,1000.7350755399999,0.0,0.0
12120,1000.7350755399999,1000.7350755399999,0.0,0.0
12180,1000.7350755399999,1000.7350755399999,0.0,0.0
12240,1000.7350755399999,1000.7350755399999,0.0,0.0
12300,1000.7350755399999,1000.7350755399999,0.0,0.0
12360,1000.7350755399999,1000.7350755399999,0.0,0.0
12420,1000.7350755399999,1000.7350755399999,0.0,0.0
12480,1000.7350755399999,1000.7350755399999,0.0,0.0
12540,1000.7350755399999,1000.7350755399999,0.0,0.0
12600,1000.7350755399999,1000.7350755399999,0.0,0.0
12660,1000.7350755399999,1000.7350755399999,0.0,0.0
12720,1000.7350755399999,1000.7350755399999,0.0,0.0
12780,1000.7200739399999,1000.7350755399999,0.0,0.0
12840,1001.4069319399999,1000.7820739399999,0.0,0.06200000000000046
12900,1001.4069319399999,1001.4069319399999,0.0,0.0
12960,1001.4069319399999,1001.4069319399999,0.0,0.0
13020,1001.4069319399999,1001.4069319399999,0.0,0.0
13080,1001.4069319399999,1001.4069319399999,0.0,0.0
13140,1001.4069319399999,1001.4069319399999,0.0,0.0
13200,1001.4069319399999,1001.4069319399999,0.0,0.0
13260,1001.4069319399999,1001.4069319399999,0.0,0.0
13320,1001.4069319399999,1001.4069319399999,0.0,0.0
13380,1001.4069319399999,1001.4069319399999,0.0,0.0
13440,1001.4069319399999,1001.4069319399999,0.0,0.0
13500,1001.4069319399999,1001.4069319399999,0.0,0.0
13560,1001.4069319399999,1001.4069319399999,0.0,0.0
13620,1001.4069319399999,1001.4069319399999,0.0,0.0
13680,1001.4069319399999,1001.4069319399999,0.0,0.0
13740,1001.4069319399999,1001.4069319399999,0.0,0.0
13800,1001.4069319399999,1001.4069319399999,0.0,0.0
13860,1001.4069319399999,1001.4069319399999,0.0,0.0
13920,1001.4069319399999,1001.4069319399999,0.0,0.0
13980,1001.4069319399999,1001.4069319399999,0.0,0.0
14040,1001.4069319399999,1001.4069319399999,0.0,0.0
14100,1001.4069319399999,1001.4069319399999,0.0,0.0
14160,1001.4069319399999,1001.4069319399999,0.0,0.0
14220,1001.4069319399999,1001.4069319399999,0.0,0.0
14280,1001.4069319399999,1001.4069319399999,0.0,0.0
14340,1001.4069319399999,1001.4069319399999,0.0,0.0
14400,1001.4069319399999,1001.4069319399999,0.0,0.0
14460,1001.4069319399999,1001.4069319399999,0.0,0.0
14520,1001.4069319399999,1001.4069319399999,0.0,0.0
14580,1001.4069319399999,1001.4069319399999,0.0,0.0
14640,1001.4069319399999,1001.4069319399999,0.0,0.0
14700,1001.4069319399999,1001.4069319399999,0.0,0.0
14760,1001.4069319399999,1001.4069319399999,0.0,0.0
14820,1001.4069319399999,1001.4069319399999,0.0,0.0
14880,1001.4069319399999,1001.4069319399999,0.0,0.0
14940,1001.4069319399999,1001.4069319399999,0.0,0.0
15000,1001.4069319399999,1001.4069319399999,0.0,0.0
15060,1001.4069319399999,1001.4069319399999,0.0,0.0
15120,1001.4069319399999,1001.4069319399999,0.0,0.0
15180,1001.4069319399999,1001.4069319399999,0.0,0.0
15240,1001.4069319399999,1001.4069319399999,0.0,0.0
15300,1001.4069319399999,1001.4069319399999,0.0,0.0
15360,1001.4069319399999,1001.4069319399999,0.0,0.0
15420,1001.4069319399999,1001.4069319399999,0.0,0.0
15480,1001.4069319399999,1001.4069319399999,0.0,0.0
15540,1001.4069319399999,1001.4069319399999,0.0,0.0
15600,1001.4069319399999,1001.4069319399999,0.0,0.0
15660,1001.4069319399999,1001.4069319399999,0.0,0.0
15720,1001.4069319399999,1001.4069319399999,0.0,0.0
15780,1001.4069319399999,1001.4069319399999,0.0,0.0
15840,1001.4069319399999,1001.4069319399999,0.0,0.0
15900,1001.4069319399999,1001.4069319399999,0.0,0.0
15960,1001.4069319399999,1001.4069319399999,0.0,0.0
16020,1001.4069319399999,1001.4069319399999,0.0,0.0
16080,1001.4069319399999,1001.4069319399999,0.0,0.0
16140,1001.4069319399999,1001.4069319399999,0.0,0.0
16200,1001.4069319399999,1001.4069319399999,0.0,0.0
16260,1001.4069319399999,1001.4069319399999,0.0,0.0
16320,1001.4069319399999,1001.4069319399999,0.0,0.0
16380,1001.4069319399999,1001.4069319399999,0.0,0.0
16440,1001.4069319399999,1001.4069319399999,0.0,0.0
16500,1001.4069319399999,1001.4069319399999,0.0,0.0
16560,1001.4069319399999,1001.4069319399999,0.0,0.0
16620,1001.4069319399999,1001.4069319399999,0.0,0.0
16680,1001.4069319399999,1001.4069319399999,0.0,0.0
16740,1001.4069319399999,1001.4069319399999,0.0,0.0
16800,1001.4069319399999,1001.4069319399999,0.0,0.0
16860,1001.4069319399999,1001.4069319399999,0.0,0.0
16920,1001.4069319399999,1001.4069319399999,0.0,0.0
16980,1001.4069319399999,1001.4069319399999,0.0,0.0
17040,1001.4069319399999,1001.4069319399999,0.0,0.0
17100,1001.4069319399999,1001.4069319399999,0.0,0.0
17160,1001.4069319399999,1001.4069319399999,0.0,0.0
17220,1001.32706658,1001.4069319399999,0.0,0.0
17280,1001.20079098,1001.4390665799999,0.0,0.11199999999996635
17340,1001.20079098,1001.20079098,0.0,0.0
17400,1001.20079098,1001.20079098,0.0,0.0
17460,1001.20079098,1001.20079098,0.0,0.0
17520,1001.20079098,1001.20079098,0.0,0.0
17580,1001.20079098,1001.20079098,0.0,0.0
17640,1001.20079098,1001.20079098,0.0,0.0
17700,1001.20079098,1001.20079098,0.0,0.0
17760,1001.20079098,1001.20079098,0.0,0.0
17820,1001.20079098,1001.20079098,0.0,0.0
17880,1001.20079098,1001.20079098,0.0,0.0
17940,1001.20079098,1001.20079098,0.0,0.0
18000,1001.20079098,1001.20079098,0.0,0.0
18060,1001.20079098,1001.20079098,0.0,0.0
18120,1001.20079098,1001.20079098,0.0,0.0
18180,1001.20079098,1001.20079098,0.0,0.0
18240,1001.20079098,1001.20079098,0.0,0.0
18300,1001.1857821799999,1001.20079098,0.0,0.0
18360,1001.40882858,1001.42672218,0.0,0.0
18420,1001.40882858,1001.40882858,0.0,0.0
18480,1001.40882858,1001.40882858,0.0,0.0
18540,1001.40882858,1001.40882858,0.0,0.0
18600,1001.40882858,1001.40882858,0.0,0.0
18660,1001.40882858,1001.40882858,0.0,0.0
18720,1001.40882858,1001.40882858,0.0,0.0
18780,1001.40882858,1001.40882858,0.0,0.0
18840,1001.40882858,1001.40882858,0.0,0.0
18900,1001.40882858,1001.40882858,0.0,0.0
18960,1001.40882858,1001.40882858,0.0,0.0
19020,1001.40882858,1001.40882858,0.0,0.0
19080,1001.40882858,1001.40882858,0.0,0.0
19140,1001.40882858,1001.40882858,0.0,0.0
19200,1001.40882858,1001.40882858,0.0,0.0
19260,1001.40882858,1001.40882858,0.0,0.0
19320,1001.40882858,1001.40882858,0.0,0.0
19380,1001.40882858,1001.40882858,0.0,0.0
19440,1001.40882858,1001.40882858,0.0,0.0
19500,1001.40882858,1001.40882858,0.0,0.0
